,Object,Property,Value,Source
221,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:12 PM,airtravelcenter
222,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,airtravelcenter
223,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:09 PM,airtravelcenter
224,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,myrateplan
225,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:12 PM,myrateplan
226,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,myrateplan
227,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:09 PM,myrateplan
228,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,helloflight
229,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:12 PM,helloflight
230,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,helloflight
231,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:09 PM,helloflight
232,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,flytecomm
233,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:12 PM,flytecomm
234,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,flytecomm
235,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:09 PM,flytecomm
236,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,flightaware
237,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,flightaware
238,UA-382-IAD-LAX,Departure gate,D1,flightaware
239,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 2:48 PM,flightaware
240,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:15 PM,flightaware
241,UA-382-IAD-LAX,Arrival gate,75B,flightaware
242,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,flightaware
243,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,flightaware
244,UA-382-IAD-LAX,Departure gate,D1,flightaware
245,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 2:48 PM,flightaware
246,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:07 PM,flightaware
247,UA-382-IAD-LAX,Arrival gate,75B,flightaware
248,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,wunderground
249,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,wunderground
250,UA-382-IAD-LAX,Departure gate,D1,wunderground
251,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 2:48 PM,wunderground
252,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:15 PM,wunderground
253,UA-382-IAD-LAX,Arrival gate,75B,wunderground
254,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,wunderground
255,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,wunderground
256,UA-382-IAD-LAX,Departure gate,D1,wunderground
257,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 2:48 PM,wunderground
258,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:07 PM,wunderground
259,UA-382-IAD-LAX,Arrival gate,75B,wunderground
260,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,flights
261,UA-382-IAD-LAX,Departure gate,D1,flights
262,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:19 PM,flights
263,UA-382-IAD-LAX,Arrival gate,75B,flights
264,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,flights
265,UA-382-IAD-LAX,Departure gate,D1,flights
266,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:21 PM,flights
267,UA-382-IAD-LAX,Arrival gate,75B,flights
268,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,businesstravellogue
269,UA-382-IAD-LAX,Departure gate,D1,businesstravellogue
270,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:19 PM,businesstravellogue
271,UA-382-IAD-LAX,Arrival gate,75B,businesstravellogue
272,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,businesstravellogue
273,UA-382-IAD-LAX,Departure gate,D1,businesstravellogue
274,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:21 PM,businesstravellogue
275,UA-382-IAD-LAX,Arrival gate,75B,businesstravellogue
276,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,flylouisville
277,UA-382-IAD-LAX,Departure gate,D1,flylouisville
278,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:19 PM,flylouisville
279,UA-382-IAD-LAX,Arrival gate,75B,flylouisville
280,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,flylouisville
281,UA-382-IAD-LAX,Departure gate,D1,flylouisville
282,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:21 PM,flylouisville
283,UA-382-IAD-LAX,Arrival gate,75B,flylouisville
284,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,flightstats
285,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,flightstats
286,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 3:19 PM,flightstats
287,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:21 PM,flightstats
288,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,quicktrip
289,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,quicktrip
290,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 3:19 PM,quicktrip
291,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:21 PM,quicktrip
292,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,flightview
293,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:11 PM,flightview
294,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,flightview
295,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:21 PM,flightview
296,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,panynj
297,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:11 PM,panynj
298,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,panynj
299,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:21 PM,panynj
300,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,gofox
301,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:11 PM,gofox
302,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,gofox
303,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:21 PM,gofox
304,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,foxbusiness
305,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:11 PM,foxbusiness
306,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,foxbusiness
307,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:21 PM,foxbusiness
308,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,allegiantair
309,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:11 PM,allegiantair
310,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,allegiantair
311,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:21 PM,allegiantair
312,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,boston
313,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:07 PM,boston
314,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,boston
315,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:20 PM,boston
316,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,orbitz
317,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,orbitz
318,UA-382-IAD-LAX,Departure gate,D1,orbitz
319,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 13:19 PM,orbitz
320,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:21 PM,orbitz
321,UA-382-IAD-LAX,Arrival gate,75B,orbitz
322,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,orbitz
323,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,orbitz
324,UA-382-IAD-LAX,Departure gate,D1,orbitz
325,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 13:03 PM,orbitz
326,UA-382-IAD-LAX,Arrival gate,75B,orbitz
327,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,usatoday
328,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:20 PM,usatoday
329,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,mytripandmore
330,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,mytripandmore
331,UA-382-IAD-LAX,Departure gate,D1,mytripandmore
332,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 13:03 PM,mytripandmore
333,UA-382-IAD-LAX,Arrival gate,75B,mytripandmore
334,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,flightarrival
335,UA-382-IAD-LAX,Actual arrival,2011-12-01 13:20 PM,flightarrival
336,AA-3063-SLC-LAX,Scheduled departure,2011-12-01 8:20 PM,aa
337,AA-3063-SLC-LAX,Actual departure,2011-12-01 8:39 PM,aa
338,AA-3063-SLC-LAX,Departure gate,A3,aa
339,AA-3063-SLC-LAX,Scheduled arrival,2011-12-01 9:20 PM,aa
340,AA-3063-SLC-LAX,Arrival gate,44I,aa
341,AA-3063-SLC-LAX,Actual departure,2011-12-01 8:40 PM,airtravelcenter
342,AA-3063-SLC-LAX,Actual departure,2011-12-01 8:40 PM,myrateplan
343,AA-3063-SLC-LAX,Actual departure,2011-12-01 8:40 PM,helloflight
344,AA-3063-SLC-LAX,Actual departure,2011-12-01 8:40 PM,flytecomm
345,AA-3063-SLC-LAX,Scheduled departure,2011-12-01 8:20 PM,flightaware
346,AA-3063-SLC-LAX,Actual departure,2011-12-01 8:40 PM,flightaware
347,AA-3063-SLC-LAX,Departure gate,A3,flightaware
348,AA-3063-SLC-LAX,Scheduled arrival,2011-12-01 9:10 PM,flightaware
349,AA-3063-SLC-LAX,Arrival gate,44I,flightaware
350,AA-3063-SLC-LAX,Scheduled departure,2011-12-01 8:20 PM,wunderground
351,AA-3063-SLC-LAX,Actual departure,2011-12-01 8:40 PM,wunderground
352,AA-3063-SLC-LAX,Departure gate,A3,wunderground
353,AA-3063-SLC-LAX,Scheduled arrival,2011-12-01 9:10 PM,wunderground
354,AA-3063-SLC-LAX,Arrival gate,44I,wunderground
355,AA-3063-SLC-LAX,Actual departure,2011-12-01 8:39 PM,flights
356,AA-3063-SLC-LAX,Departure gate,A3,flights
357,AA-3063-SLC-LAX,Arrival gate,44,flights
