Object,Property,Value,False
Object10,Property4,359671,"[735814, 593406, 669841, 532331, 934202, 699151, 995167, 941125, 642305, 919021, 634132, 975387, 780526, 986278, 795487, 869170, 889268, 516209, 845912, 726363]"
Object10,Property5,378937,"[740116, 959467, 894792, 520385, 945349, 896204, 824396, 992186, 842330, 922934, 769397, 691923, 675609, 786709, 561051, 757195, 554241, 651102, 571278, 808590]"
Object10,Property6,116871,"[610435, 725832, 646441, 754794, 880685, 653965, 893127, 987377, 849378, 934634, 971108, 611054, 516069, 727715, 753858, 514833, 511578, 548591, 897697, 676864]"
Object11,Property1,243815,"[597358, 656715, 748426, 975278, 824639, 892319, 670630, 692872, 947715, 769070, 716406, 611061, 931232, 661107, 870482, 619850, 576079, 549744, 874753, 500148]"
Object11,Property2,331938,"[868216, 566674, 833887, 760683, 533871, 997110, 931796, 951853, 756586, 827653, 612694, 603623, 640044, 656460, 808817, 759026, 649424, 535123, 965513, 684248]"
Object11,Property3,231403,"[841430, 511258, 826382, 935306, 612615, 788060, 647730, 510765, 687581, 850450, 955721, 609004, 819633, 657143, 886703, 754799, 525487, 625828, 567253, 620225]"
Object11,Property4,363702,"[930652, 610042, 665286, 515314, 952788, 684596, 714466, 689424, 849019, 924196, 960524, 587280, 680134, 527572, 918189, 702628, 726179, 627629, 945068, 568754]"
Object11,Property5,157356,"[945804, 994894, 922663, 898923, 768299, 577288, 844880, 530590, 912492, 945420, 676416, 756600, 829552, 747454, 578592, 833232, 843503, 600732, 620184, 850404]"
Object11,Property6,358273,"[687715, 554346, 628783, 955946, 680666, 920654, 760898, 542153, 921470, 782828, 748275, 587375, 772946, 732900, 746714, 565332, 854187, 841391, 539140, 866078]"
Object12,Property1,320135,"[945669, 838522, 675763, 789301, 799040, 826394, 959655, 606014, 908461, 927938, 572794, 694955, 571090, 681268, 656278, 664172, 677510, 604045, 503976, 650123]"
Object12,Property2,443574,"[677033, 752634, 921566, 519822, 882540, 735668, 556956, 675858, 791114, 927795, 781030, 902202, 790014, 910320, 913428, 533107, 580238, 638192, 880618, 783363]"
Object12,Property3,160387,"[758576, 657555, 676382, 737106, 747332, 999527, 668977, 787306, 757006, 964765, 659325, 599964, 680679, 638117, 546010, 662743, 842548, 897910, 976193, 500451]"
Object12,Property4,426372,"[998285, 681195, 621285, 509395, 919669, 739269, 892522, 566355, 791335, 611897, 927879, 897120, 605622, 817201, 924534, 862794, 813907, 958669, 822907, 582508]"
Object12,Property5,378025,"[791850, 553104, 991217, 634776, 830646, 533506, 683342, 959171, 565997, 883472, 500196, 801308, 873640, 842145, 979680, 630132, 879988, 848714, 643143, 747972]"
Object12,Property6,475141,"[871489, 655399, 635688, 987409, 629297, 634871, 656643, 644844, 789025, 584846, 812861, 964016, 932481, 638424, 655465, 699452, 930041, 858137, 817096, 731525]"
Object13,Property1,488471,"[989771, 696179, 906495, 762773, 657641, 684104, 821238, 641672, 799659, 511742, 985343, 592639, 610451, 680505, 511177, 916625, 509840, 925331, 914134, 712940]"
Object13,Property2,245102,"[720273, 867495, 918833, 982491, 735032, 589132, 949535, 949352, 920881, 963516, 762893, 614135, 739381, 942131, 848590, 989894, 940350, 509210, 572815, 711292]"
Object13,Property3,205923,"[721344, 533544, 639010, 836573, 810093, 693248, 826461, 529796, 974013, 910250, 859251, 972467, 696850, 820315, 987464, 912247, 858791, 808339, 728591, 871161]"
Object13,Property4,248322,"[643709, 572824, 887799, 942233, 884964, 889237, 559386, 709768, 537686, 613747, 793798, 721107, 761541, 924234, 737910, 812089, 980020, 826112, 798775, 640365]"
Object13,Property5,487185,"[992817, 837810, 516300, 919450, 950279, 616662, 643774, 793899, 617850, 783039, 620278, 981129, 800440, 648665, 731448, 819781, 814736, 910739, 959384, 861094]"
Object13,Property6,153116,"[668905, 778552, 728929, 786436, 667500, 671791, 741539, 624364, 629841, 548268, 981613, 851516, 875996, 859517, 610517, 844420, 966336, 595412, 831140, 616895]"
Object14,Property1,299795,"[957300, 534454, 750217, 714033, 999501, 761466, 635071, 919289, 520585, 504988, 730828, 779578, 965584, 567441, 979636, 612596, 877312, 665806, 877957, 678705]"
Object14,Property2,116749,"[757434, 536280, 743462, 855636, 894707, 610618, 663692, 563452, 893733, 773713, 888580, 918412, 906560, 797958, 504536, 574181, 727189, 843398, 911214, 621713]"
Object14,Property3,298526,"[625441, 879219, 618369, 747211, 521835, 948644, 562304, 720600, 991933, 501847, 791428, 898112, 752236, 806776, 722945, 599683, 686005, 804172, 763061, 544584]"
Object14,Property4,286563,"[939461, 804162, 745802, 530998, 676757, 570669, 673538, 843263, 663288, 555636, 626933, 623297, 575285, 716450, 509245, 508699, 697091, 528786, 956158, 748877]"
Object14,Property5,403829,"[916559, 806262, 744118, 606487, 867210, 683739, 573189, 703070, 973733, 532543, 793531, 668229, 843040, 784794, 985925, 939454, 717323, 830439, 916617, 857459]"
Object14,Property6,123307,"[534256, 546518, 665361, 719692, 728969, 547624, 524092, 728683, 933062, 833734, 737850, 845735, 900064, 663250, 683221, 523445, 827963, 634956, 855102, 569005]"
Object15,Property1,192541,"[813867, 610053, 988372, 743112, 933491, 649557, 578745, 769326, 855475, 535193, 511460, 734844, 606901, 818199, 753153, 529919, 988239, 999084, 909712, 583753]"
Object15,Property2,467307,"[822264, 515098, 520084, 674847, 523438, 702487, 777040, 536414, 828134, 502422, 681894, 772099, 869211, 631054, 717065, 594468, 579838, 549072, 850111, 995572]"
Object15,Property3,136340,"[633092, 771725, 983801, 576464, 755021, 817686, 911542, 992444, 723921, 903322, 720840, 875944, 835178, 828828, 709331, 833282, 898011, 644645, 575712, 739126]"
Object15,Property4,259916,"[737682, 781281, 907621, 560567, 936243, 742367, 576708, 664677, 727064, 828448, 654003, 950795, 717242, 502778, 808571, 646254, 924925, 804712, 612951, 581242]"
Object15,Property5,140307,"[751717, 561156, 675109, 632720, 790043, 683561, 815425, 618484, 841318, 598181, 927907, 691960, 931658, 856907, 876775, 694252, 557753, 715171, 750849, 587216]"
Object15,Property6,448179,"[546275, 594496, 608424, 972087, 978503, 785224, 769815, 671607, 588719, 533034, 648269, 907909, 997952, 798046, 631911, 736727, 698318, 762752, 531927, 588613]"
Object16,Property1,285034,"[519911, 788305, 872187, 842058, 674596, 854923, 988665, 624194, 896702, 723170, 917366, 740080, 503127, 929023, 955140, 591870, 900436, 869966, 609661, 727596]"
Object16,Property2,315379,"[580553, 881970, 905967, 877827, 534283, 674960, 645118, 628496, 589443, 892304, 719983, 726315, 852826, 502449, 956252, 881508, 661447, 993089, 661018, 725401]"
Object16,Property3,269397,"[729292, 581555, 589039, 994859, 631551, 556838, 552647, 870771, 744595, 640720, 675898, 769161, 967842, 826764, 577972, 777927, 679908, 920779, 715953, 988901]"
Object16,Property4,149506,"[852068, 527693, 886261, 827173, 722105, 876376, 958609, 675083, 514372, 819783, 798195, 503648, 959650, 695995, 791962, 608691, 768845, 519298, 909145, 655460]"
Object16,Property5,451100,"[630060, 561584, 552450, 834209, 932489, 815720, 904346, 698712, 628096, 968247, 961503, 800125, 927346, 673947, 546521, 773389, 756445, 604584, 934807, 791065]"
Object16,Property6,159119,"[711992, 744903, 880121, 935176, 701810, 977872, 657900, 931933, 598246, 928989, 995887, 752535, 751896, 832117, 547897, 683726, 644999, 959712, 938427, 632338]"
Object17,Property1,490124,"[547613, 714604, 585777, 529435, 504962, 739938, 664332, 859899, 901774, 755108, 978408, 878942, 675734, 916490, 936066, 641934, 889925, 983461, 946054, 772033]"
Object17,Property2,143184,"[598331, 943456, 879234, 718671, 690381, 936125, 609646, 797666, 789092, 967458, 862588, 654218, 711996, 594752, 647634, 704574, 948063, 643302, 826265, 859915]"
Object17,Property3,385025,"[647613, 753329, 895521, 900701, 980959, 808541, 888459, 947114, 803998, 831616, 510334, 515270, 569466, 609982, 731306, 694403, 914267, 722892, 746462, 771065]"
Object17,Property4,303181,"[858582, 695269, 990166, 723751, 692553, 739949, 929127, 849634, 569101, 623688, 627902, 564028, 865660, 817608, 860167, 504899, 758840, 615880, 583396, 698396]"
Object17,Property5,358907,"[809870, 907980, 916000, 524399, 679046, 707663, 528397, 972456, 736092, 804710, 710693, 501651, 710781, 796189, 863397, 789832, 589750, 974925, 509448, 893345]"
Object17,Property6,201620,"[765086, 781971, 592270, 836646, 948038, 698078, 657677, 544265, 746176, 868329, 553310, 519104, 630796, 834865, 876822, 973346, 670592, 669613, 583645, 865722]"
Object18,Property1,330344,"[793424, 772443, 754758, 709574, 955270, 952365, 885717, 603681, 736748, 994423, 717080, 578038, 715883, 632062, 662115, 726824, 865777, 797160, 653514, 552990]"
Object18,Property2,464073,"[683121, 604017, 801521, 848824, 754225, 930964, 645024, 969701, 841332, 938831, 732367, 993265, 805458, 750338, 919817, 611569, 852083, 989579, 808929, 704092]"
Object18,Property3,398961,"[609954, 791577, 984796, 768261, 971601, 574663, 885108, 688306, 820838, 517093, 902959, 564252, 959717, 655159, 726509, 712565, 841192, 556765, 816158, 839416]"
Object18,Property4,345930,"[667408, 888721, 512390, 629415, 692727, 594563, 778897, 510855, 624451, 873554, 684452, 939594, 911490, 666974, 912359, 704619, 740988, 552324, 743924, 973899]"
Object18,Property5,133961,"[693461, 723491, 990705, 784439, 597954, 913026, 901037, 948780, 576471, 748230, 725351, 752488, 559848, 789484, 807567, 746771, 832286, 864916, 636901, 829510]"
Object18,Property6,130619,"[687332, 520646, 736840, 827739, 583169, 628168, 880175, 743377, 629342, 523862, 773793, 941446, 600061, 825289, 779487, 801259, 603327, 816216, 890224, 638832]"
Object19,Property1,462953,"[921900, 879843, 990317, 615100, 579390, 739859, 772502, 548589, 503054, 661623, 568715, 806571, 962735, 662007, 509074, 668918, 614355, 555038, 770444, 594452]"
Object19,Property2,320065,"[866676, 751488, 819075, 510236, 962485, 734646, 679481, 855262, 626970, 937395, 957388, 721006, 679657, 542708, 646854, 823177, 874956, 968846, 718948, 800469]"
Object19,Property3,329728,"[603485, 808017, 767924, 956420, 965500, 997481, 841918, 907705, 841878, 875569, 735228, 921538, 907881, 993298, 998257, 776183, 613287, 889431, 818149, 880328]"
Object19,Property4,434737,"[612718, 797543, 834304, 981421, 649838, 994635, 953227, 873332, 629083, 776985, 834007, 572878, 858730, 510926, 819600, 806690, 845581, 757013, 713425, 500289]"
Object19,Property5,129084,"[994994, 651144, 549743, 620114, 504439, 888196, 516115, 863932, 928429, 817329, 937508, 518463, 553358, 969758, 706312, 949722, 858714, 547238, 955503, 924851]"
Object19,Property6,181589,"[516175, 956063, 646923, 989697, 612492, 831001, 817268, 780449, 608977, 685931, 767092, 602766, 592305, 569308, 687157, 566903, 802192, 894793, 621047, 771190]"
Object20,Property1,177371,"[899713, 713405, 551064, 956567, 543522, 924489, 690983, 517335, 573160, 826593, 807022, 931599, 515963, 615890, 617793, 693164, 570492, 576316, 930961, 501936]"
Object20,Property2,340256,"[619702, 953523, 877487, 886335, 507802, 623149, 712425, 582024, 969132, 783036, 820049, 703371, 649589, 619665, 815794, 597982, 826011, 636937, 731633, 992560]"
Object20,Property3,354430,"[874802, 801374, 577512, 962048, 797237, 794938, 889615, 544288, 681117, 511310, 675995, 928927, 510841, 902742, 671429, 543557, 900469, 764833, 554273, 720106]"
Object20,Property4,200404,"[846954, 668988, 667158, 879543, 517524, 680612, 535116, 656291, 658132, 620068, 625347, 587048, 598314, 921483, 539673, 685575, 548023, 912602, 956340, 558865]"
Object20,Property5,376795,"[946559, 750423, 676980, 875967, 995434, 767763, 967628, 792284, 814285, 851682, 955197, 986301, 900540, 527180, 715538, 635358, 597404, 730185, 916752, 818772]"
Object20,Property6,458720,"[821571, 512824, 719093, 780221, 642021, 610282, 960258, 811758, 582477, 923715, 966271, 675581, 879488, 936552, 705084, 536884, 878585, 731051, 958714, 706674]"
Object21,Property1,454835,"[574282, 811178, 848024, 926733, 980107, 515000, 767872, 964040, 541960, 907366, 542128, 837327, 838772, 935224, 777154, 670073, 665039, 870582, 788542, 541864]"
Object21,Property2,266106,"[900485, 915144, 553215, 996389, 582058, 662628, 905567, 956299, 903465, 919433, 696086, 940515, 841224, 595325, 943021, 551459, 695188, 960756, 737111, 749572]"
Object21,Property3,293822,"[594129, 774294, 983458, 647772, 953450, 504065, 910774, 822416, 810117, 783605, 865740, 717685, 718847, 624295, 672171, 742776, 748184, 753751, 571445, 730318]"
Object21,Property4,127329,"[811120, 782190, 778119, 784665, 698576, 586481, 619305, 929687, 910028, 674520, 747172, 618472, 628088, 500247, 693452, 915561, 914024, 677321, 823311, 674883]"
Object21,Property5,339849,"[928144, 849074, 775774, 558023, 926397, 761997, 803362, 871190, 902135, 512241, 770985, 554135, 633890, 634235, 951632, 814667, 709418, 900424, 895635, 535332]"
Object21,Property6,124841,"[988037, 667130, 891760, 534994, 885026, 646809, 811771, 872604, 783957, 692904, 787401, 751811, 627259, 676691, 774926, 576830, 863259, 626157, 516495, 923803]"
Object22,Property1,376301,"[765428, 729187, 959761, 770851, 728803, 594210, 691638, 833076, 539809, 500365, 923270, 557044, 877017, 796596, 587457, 822093, 716598, 981079, 920686, 858628]"
Object22,Property2,208522,"[643178, 963447, 838172, 632630, 517326, 646990, 701105, 687371, 846633, 571888, 500883, 877236, 605275, 728048, 566690, 544084, 703312, 789540, 780025, 777540]"
Object22,Property3,179308,"[623431, 837201, 854835, 615510, 726337, 682662, 621209, 800885, 892029, 675438, 854543, 544028, 680608, 677396, 765147, 992619, 853248, 943115, 875885, 533700]"
Object22,Property4,289814,"[787318, 703999, 707338, 553163, 631857, 565315, 658087, 732834, 961610, 946242, 933149, 901164, 527601, 651633, 664557, 626460, 583586, 827370, 527268, 567850]"
Object22,Property5,205961,"[986951, 661091, 539590, 731102, 712724, 606792, 832280, 712814, 581428, 980261, 890176, 928910, 635059, 631872, 746845, 782902, 614242, 843079, 926412, 522078]"
Object22,Property6,272039,"[847392, 883725, 914957, 900018, 855640, 529670, 946540, 619534, 668011, 725498, 963185, 875294, 705203, 856892, 707203, 599667, 704811, 893650, 532856, 724339]"
Object23,Property1,458560,"[590670, 837660, 639104, 940949, 948126, 992894, 557499, 945850, 629777, 510475, 935289, 937897, 617095, 512134, 921092, 726246, 823309, 650885, 976972, 818625]"
Object23,Property2,470829,"[968844, 715075, 577776, 714741, 531938, 960710, 779176, 964061, 786159, 858173, 835398, 562826, 660706, 644522, 518589, 846028, 801531, 713057, 668170, 548419]"
Object23,Property3,269637,"[809917, 576538, 637059, 616360, 823048, 737655, 635839, 940101, 872098, 760184, 530675, 987844, 590950, 594168, 511539, 796204, 661945, 844562, 794089, 874624]"
Object23,Property4,458242,"[721414, 534127, 575892, 601377, 892788, 906113, 827013, 647954, 619553, 500424, 742478, 530577, 724717, 659415, 758953, 568111, 856175, 727055, 661200, 725724]"
Object23,Property5,106129,"[962629, 720309, 877052, 575689, 787791, 637145, 557745, 922642, 679450, 863039, 836766, 989206, 947222, 969694, 566752, 795273, 816702, 545778, 944334, 954454]"
Object23,Property6,220498,"[918641, 820072, 846027, 559141, 922529, 832906, 728604, 668102, 645945, 882402, 754701, 881065, 599035, 777794, 867364, 841777, 771312, 925890, 925704, 644108]"
Object24,Property1,460927,"[719754, 621629, 595583, 942434, 648893, 522237, 978247, 511949, 598323, 567008, 731974, 519010, 737140, 916383, 735553, 879585, 682917, 615452, 708975, 745584]"
Object24,Property2,336135,"[695836, 712235, 627252, 688500, 807253, 685133, 724789, 831745, 512281, 812437, 667241, 581151, 521912, 659547, 710901, 684351, 913461, 513211, 714652, 873213]"
Object24,Property3,194412,"[762056, 686646, 636982, 839859, 749627, 573806, 812156, 915057, 839489, 562468, 502219, 733750, 965585, 784592, 656380, 566526, 737826, 661164, 709291, 635082]"
Object24,Property4,143073,"[729477, 911608, 986885, 684672, 568743, 900836, 736823, 641084, 831910, 968264, 586495, 745761, 792744, 966781, 504417, 964203, 740227, 944691, 854698, 794964]"
Object24,Property5,487230,"[931281, 583660, 869334, 967855, 524437, 566682, 679364, 616431, 675779, 783583, 911979, 680526, 509054, 731644, 846895, 590783, 516940, 631168, 950556, 523210]"
Object24,Property6,372398,"[587689, 788785, 584245, 803156, 633491, 883065, 621843, 990417, 773464, 800266, 672173, 958721, 692630, 945377, 736656, 685002, 529404, 572886, 507268, 768528]"
Object25,Property1,241407,"[542483, 984555, 792739, 983924, 819975, 944491, 981484, 905480, 503069, 799438, 930125, 596565, 693397, 953778, 553141, 911799, 521544, 655462, 995948, 671514]"
Object25,Property2,274757,"[883492, 907914, 973502, 892182, 982250, 640384, 816605, 900077, 866566, 540236, 688810, 632015, 558028, 785171, 797466, 759232, 583179, 970977, 545763, 637985]"
Object25,Property3,217444,"[719373, 871004, 804199, 826117, 933125, 987028, 653196, 864978, 830083, 609004, 700723, 888690, 750156, 550567, 597062, 611553, 587783, 565264, 694273, 617406]"
Object25,Property4,287394,"[540607, 966515, 940145, 937364, 797262, 989834, 722923, 835244, 968619, 936238, 679964, 740353, 692112, 995986, 589351, 692425, 787587, 734828, 528765, 944671]"
