Object,Property,Value,Source,TSInitial,C_v
Object6,Property3,365355,Source5,0.8,0.0
Object7,Property2,369630,Source5,0.8,0.0
Object7,Property3,669391,Source5,0.8,0.0
Object8,Property2,543750,Source5,0.8,0.0
Object8,Property3,612215,Source5,0.8,0.0
Object9,Property2,963845,Source5,0.8,0.0
Object9,Property3,693046,Source5,0.8,0.0
Object10,Property2,818456,Source5,0.8,0.0
Object10,Property3,615784,Source5,0.8,0.0
Object1,Property2,932264,Source2,0.8,0.0
Object1,Property3,685781,Source2,0.8,0.0
Object2,Property2,901186,Source2,0.8,0.0
Object2,Property3,942477,Source2,0.8,0.0
Object3,Property2,676633,Source2,0.8,0.0
Object3,Property3,621069,Source2,0.8,0.0
Object4,Property2,693276,Source2,0.8,0.0
Object4,Property3,872736,Source2,0.8,0.0
Object5,Property2,951115,Source2,0.8,0.0
Object5,Property3,780708,Source2,0.8,0.0
Object6,Property2,766479,Source2,0.8,0.0
Object6,Property3,672047,Source2,0.8,0.0
Object7,Property2,543422,Source2,0.8,0.0
Object7,Property3,509931,Source2,0.8,0.0
Object8,Property2,543750,Source2,0.8,0.0
Object8,Property3,612215,Source2,0.8,0.0
Object9,Property2,732861,Source2,0.8,0.0
Object9,Property3,635216,Source2,0.8,0.0
Object10,Property2,773509,Source2,0.8,0.0
Object10,Property3,800476,Source2,0.8,0.0
Object1,Property2,753428,Source4,0.8,0.0
Object1,Property3,683240,Source4,0.8,0.0
Object2,Property2,901186,Source4,0.8,0.0
Object2,Property3,690169,Source4,0.8,0.0
Object3,Property2,757488,Source4,0.8,0.0
Object3,Property3,844135,Source4,0.8,0.0
Object4,Property2,579079,Source4,0.8,0.0
Object4,Property3,681238,Source4,0.8,0.0
Object5,Property2,856393,Source4,0.8,0.0
Object5,Property3,919482,Source4,0.8,0.0
Object6,Property2,998043,Source4,0.8,0.0
Object6,Property3,505906,Source4,0.8,0.0
Object7,Property2,582534,Source4,0.8,0.0
Object7,Property3,919743,Source4,0.8,0.0
Object8,Property2,960650,Source4,0.8,0.0
Object8,Property3,564825,Source4,0.8,0.0
Object9,Property2,796998,Source4,0.8,0.0
Object9,Property3,506851,Source4,0.8,0.0
Object10,Property2,857711,Source4,0.8,0.0
Object10,Property3,744728,Source4,0.8,0.0
Object1,Property1,685803,Source1,0.8,0.0
Object2,Property1,923134,Source1,0.8,0.0
Object3,Property1,862909,Source1,0.8,0.0
Object4,Property1,812927,Source1,0.8,0.0
Object5,Property1,796424,Source1,0.8,0.0
Object6,Property1,811915,Source1,0.8,0.0
Object7,Property1,581237,Source1,0.8,0.0
Object8,Property1,692605,Source1,0.8,0.0
Object9,Property1,953814,Source1,0.8,0.0
Object10,Property1,828451,Source1,0.8,0.0
Object1,Property1,829892,Source3,0.8,0.0
Object2,Property1,991673,Source3,0.8,0.0
Object3,Property1,983243,Source3,0.8,0.0
Object4,Property1,844056,Source3,0.8,0.0
Object5,Property1,818891,Source3,0.8,0.0
Object6,Property1,883726,Source3,0.8,0.0
Object7,Property1,580307,Source3,0.8,0.0
Object8,Property1,692605,Source3,0.8,0.0
Object9,Property1,570159,Source3,0.8,0.0
Object10,Property1,800805,Source3,0.8,0.0
Object1,Property1,860972,Source5,0.8,0.0
Object2,Property1,645243,Source5,0.8,0.0
Object3,Property1,975994,Source5,0.8,0.0
Object4,Property1,901467,Source5,0.8,0.0
Object5,Property1,646171,Source5,0.8,0.0
Object6,Property1,629184,Source5,0.8,0.0
Object7,Property1,741386,Source5,0.8,0.0
Object8,Property1,952950,Source5,0.8,0.0
Object9,Property1,722462,Source5,0.8,0.0
Object10,Property1,863226,Source5,0.8,0.0
Object1,Property1,489774,Source2,0.8,0.0
Object2,Property1,498000,Source2,0.8,0.0
Object3,Property1,159117,Source2,0.8,0.0
Object4,Property1,454483,Source2,0.8,0.0
Object5,Property1,489839,Source2,0.8,0.0
Object6,Property1,400264,Source2,0.8,0.0
Object7,Property1,194919,Source2,0.8,0.0
Object8,Property1,340063,Source2,0.8,0.0
Object9,Property1,312500,Source2,0.8,0.0
Object10,Property1,282109,Source2,0.8,0.0
Object1,Property1,489774,Source4,0.8,0.0
Object2,Property1,498000,Source4,0.8,0.0
Object3,Property1,159117,Source4,0.8,0.0
Object4,Property1,454483,Source4,0.8,0.0
Object5,Property1,489839,Source4,0.8,0.0
Object6,Property1,400264,Source4,0.8,0.0
Object7,Property1,194919,Source4,0.8,0.0
Object8,Property1,340063,Source4,0.8,0.0
Object9,Property1,312500,Source4,0.8,0.0
Object10,Property1,555423,Source4,0.8,0.0
