Object,Property,Value
bidu,Change $,3.216
bidu,Volume,7198371.0
bidu,Today's high,143.35
bidu,Today's low,138.9
bidu,Previous close,140.13
bidu,52wk High,156.04
bidu,52wk Low,65.9
bidu,Shares Outstanding,270768000.0
bidu,Market cap,38813509728.0
bidu,EPS,1.77
biib,Change %,1.48
biib,Last trading price,108.5
biib,Open price,107.35
biib,Change $,1.58
biib,Volume,1669257.0
biib,Today's high,108.64
biib,Today's low,106.92
biib,Previous close,106.92
biib,52wk High,109.63
biib,52wk Low,46.15
biib,Shares Outstanding,241632000.0
biib,Market cap,26217072000.0
biib,EPS,4.36
bmc,Change %,1.99
bmc,Last trading price,55.79
bmc,Open price,54.84
bmc,Change $,1.09
bmc,Volume,2300895.0
bmc,Today's high,56.1
bmc,Today's low,54.8
bmc,Previous close,54.7
bmc,52wk High,56.16
bmc,52wk Low,34.24
bmc,Shares Outstanding,176858000.0
bmc,Market cap,9866907820.0
bmc,EPS,2.47
brcm,Change %,2.29
brcm,Last trading price,34.41
brcm,Open price,33.82
brcm,Change $,0.77
brcm,Volume,6380973.0
brcm,Today's high,34.7
brcm,Today's low,33.59
brcm,Previous close,33.64
brcm,52wk High,47.39
brcm,52wk Low,29.9
brcm,Shares Outstanding,482600000.0
brcm,Market cap,16606266000.0
brcm,Yield,1.07
brcm,Dividend,0.36
brcm,EPS,1.99
ca,Change %,1.44
ca,Last trading price,23.17
ca,Open price,22.87
ca,Change $,0.33
ca,Volume,3177246.0
ca,Today's high,23.18
ca,Today's low,22.77
ca,Previous close,22.84
ca,52wk High,25.68
ca,52wk Low,17.7
ca,Shares Outstanding,506108000.0
ca,Market cap,11726522360.0
ca,Yield,0.88
ca,Dividend,0.2
ca,EPS,1.61
celg,Change %,0.93
celg,Last trading price,60.88
celg,Open price,60.75
celg,Change $,0.56
celg,Volume,2460853.0
celg,Today's high,60.97
celg,Today's low,60.17
celg,Previous close,60.32
celg,52wk High,63.46
celg,52wk Low,48.02
celg,Shares Outstanding,462801000.0
celg,Market cap,28175324880.0
celg,EPS,1.92
cern,Change %,2.34
cern,Last trading price,62.54
cern,Open price,61.36
cern,Change $,1.43
cern,Volume,949101.0
cern,Today's high,62.59
cern,Today's low,60.82
cern,Previous close,61.11
cern,52wk High,62.955
cern,52wk Low,36.025
cern,Shares Outstanding,168212000.0
cern,Market cap,10519978480.0
cern,EPS,1.46
chkp,Change %,0.18
chkp,Last trading price,56.75
chkp,Open price,56.64
chkp,Change $,0.1
chkp,Volume,1521553.0
chkp,Today's high,56.89
chkp,Today's low,56.25
chkp,Previous close,56.85
chkp,52wk High,56.923
chkp,52wk Low,28.82
chkp,Shares Outstanding,207589000.0
chkp,Market cap,11780675750.0
chkp,EPS,2.23
chrw,Change %,2.26
chrw,Last trading price,80.62
chrw,Open price,79.1
chrw,Change $,1.78
chrw,Volume,971143.0
chrw,Today's high,80.99
chrw,Today's low,78.8426
chrw,Previous close,78.84
chrw,52wk High,82.05
chrw,52wk Low,54.5
chrw,Shares Outstanding,165564000.0
chrw,Market cap,13347769680.0
chrw,Yield,1.47
chrw,Dividend,1.16
chrw,EPS,2.42
cmcsa,Change %,1.99
cmcsa,Last trading price,25.73
cmcsa,Open price,25.3
cmcsa,Change $,0.5025
cmcsa,Volume,11607337.0
cmcsa,Today's high,25.79
cmcsa,Today's low,25.17
cmcsa,Previous close,25.2275
cmcsa,52wk High,27.16
cmcsa,52wk Low,16.76
cmcsa,Shares Outstanding,2084368000.0
cmcsa,Market cap,53630788640.0
cmcsa,Yield,1.78
cmcsa,Dividend,0.45
cmcsa,EPS,1.32
cost,Change %,0.37
cost,Last trading price,81.54
cost,Open price,81.5
cost,Change $,0.3
cost,Volume,2073601.0
cost,Today's high,81.7
cost,Today's low,81.04
cost,Previous close,81.24
cost,52wk High,83.95
cost,52wk Low,53.41
cost,Shares Outstanding,436860000.0
cost,Market cap,35621564400.0
cost,Yield,1.18
cost,Dividend,0.96
cost,EPS,3.2
csco,Change %,1.6
csco,Last trading price,15.86
csco,Open price,15.65
csco,Change $,0.25
csco,Volume,56482911.0
csco,Today's high,15.95
csco,Today's low,15.6
csco,Previous close,15.61
csco,52wk High,26.0
csco,52wk Low,14.78
csco,Shares Outstanding,5500185000.0
csco,Market cap,87232934100.0
csco,EPS,1.27
ctrp,Change %,2.25
ctrp,Last trading price,44.05
ctrp,Open price,43.24
ctrp,Change $,0.97
ctrp,Volume,1345909.0
ctrp,Today's high,44.17
ctrp,Today's low,42.68
ctrp,Previous close,43.08
ctrp,52wk High,53.16
ctrp,52wk Low,31.35
ctrp,Shares Outstanding,143564000.0
ctrp,Market cap,6323994200.0
ctrp,EPS,1.08
ctsh,Change %,1.99
ctsh,Last trading price,74.8
ctsh,Open price,73.48
ctsh,Change $,1.46
ctsh,Volume,2153733.0
ctsh,Today's high,74.8596
ctsh,Today's low,73.1201
ctsh,Previous close,73.34
ctsh,52wk High,83.48
ctsh,52wk Low,48.98
ctsh,Shares Outstanding,304250000.0
ctsh,Market cap,22757900000.0
ctsh,EPS,2.55
ctxs,Change %,0.98
ctxs,Last trading price,80.78
ctxs,Open price,80.31
ctxs,Change $,0.78
ctxs,Volume,1659407.0
ctxs,Today's high,81.32
ctxs,Today's low,79.97
ctxs,Previous close,80.0
ctxs,52wk High,88.4895
ctxs,52wk Low,41.62
ctxs,Shares Outstanding,187995000.0
ctxs,Market cap,15186236100.0
ctxs,EPS,1.58
dell,Change %,1.86
dell,Last trading price,16.98
dell,Open price,16.7
dell,Change $,0.31
dell,Volume,13649145.0
dell,Today's high,17.0
dell,Today's low,16.6
dell,Previous close,16.67
dell,52wk High,16.96
dell,52wk Low,11.34
dell,Shares Outstanding,1887170000.0
dell,Market cap,32044146600.0
dell,EPS,1.67
dltr,Change %,2.42
dltr,Last trading price,68.23
dltr,Open price,67.02
dltr,Change $,1.61
dltr,Volume,934370.0
dltr,Today's high,68.5
dltr,Today's low,66.74
dltr,Previous close,66.62
dltr,52wk High,67.99
dltr,52wk Low,40.6
dltr,Shares Outstanding,122277000.0
dltr,Market cap,8342959710.0
dltr,EPS,3.45
dtv,Change %,1.85
dtv,Last trading price,51.76
dtv,Open price,51.11
dtv,Change $,0.94
dtv,Volume,3683228.0
dtv,Today's high,51.84
dtv,Today's low,50.78
dtv,Previous close,50.82
dtv,52wk High,51.23
dtv,52wk Low,33.25
dtv,Shares Outstanding,767785000.0
dtv,Market cap,39740551600.0
dtv,EPS,2.56
ebay,Change %,1.46
ebay,Last trading price,32.74
ebay,Open price,32.22
ebay,Change $,0.47
ebay,Volume,12847872.0
ebay,Today's high,32.8
ebay,Today's low,31.99
ebay,Previous close,32.27
ebay,52wk High,35.35
ebay,52wk Low,19.06
ebay,Shares Outstanding,1297899000.0
ebay,Market cap,42493213260.0
ebay,EPS,1.42
erts,Change %,2.5
erts,Last trading price,24.19
erts,Open price,23.57
erts,Change $,0.59
erts,Volume,4768735.0
erts,Today's high,24.2
erts,Today's low,23.4
erts,Previous close,23.6
erts,52wk High,24.79
erts,52wk Low,14.06
erts,Shares Outstanding,332448000.0
erts,Market cap,8041917120.0
erts,EPS,0.84
esrx,Change %,0.04
esrx,Last trading price,53.96
esrx,Open price,54.08
esrx,Change $,0.02
esrx,Volume,6187177.0
esrx,Today's high,54.35
esrx,Today's low,53.78
esrx,Previous close,53.98
esrx,52wk High,60.89
esrx,52wk Low,41.55
esrx,Shares Outstanding,529454000.0
esrx,Market cap,28569337840.0
esrx,EPS,2.32
expd,Change %,2.42
expd,Last trading price,52.43
expd,Open price,51.21
expd,Change $,1.24
expd,Volume,1128328.0
expd,Today's high,52.49
expd,Today's low,51.19
expd,Previous close,51.19
expd,52wk High,57.15
expd,52wk Low,33.65
expd,Shares Outstanding,212370000.0
expd,Market cap,11134559100.0
expd,Yield,0.98
expd,Dividend,0.5
expd,EPS,1.73
expe,Change %,1.9
expe,Last trading price,29.54
expe,Open price,28.96
expe,Change $,0.55
expe,Volume,2251336.0
expe,Today's high,29.63
expe,Today's low,28.89
expe,Previous close,28.99
expe,52wk High,29.85
expe,52wk Low,18.3
expe,Shares Outstanding,247777000.0
expe,Market cap,7319332580.0
expe,Yield,0.97
expe,Dividend,0.28
expe,EPS,1.46
fast,Change %,1.83
fast,Last trading price,36.65
fast,Open price,36.04
fast,Change $,0.66
fast,Volume,2930250.0
fast,Today's high,36.71
fast,Today's low,36.0
fast,Previous close,35.99
fast,52wk High,36.42
fast,52wk Low,22.32
fast,Shares Outstanding,294861000.0
fast,Market cap,10806655650.0
fast,EPS,1.03
ffiv,Change %,2.64
ffiv,Last trading price,113.16
ffiv,Open price,110.83
ffiv,Change $,2.91
ffiv,Volume,1425728.0
ffiv,Today's high,113.33
ffiv,Today's low,110.13
ffiv,Previous close,110.25
ffiv,52wk High,145.76
ffiv,52wk Low,66.79
ffiv,Shares Outstanding,81111000.0
ffiv,Market cap,9178520760.0
ffiv,EPS,2.45
fisv,Change %,1.78
fisv,Last trading price,63.745
fisv,Open price,62.77
fisv,Change $,1.115
fisv,Volume,717087.0
fisv,Today's high,64.0
fisv,Today's low,62.38
fisv,Previous close,62.63
fisv,52wk High,64.89
fisv,52wk Low,44.85
fisv,Shares Outstanding,143611000.0
fisv,Market cap,9154483195.0
fisv,EPS,3.24
flex,Change %,2.8
flex,Last trading price,6.6
flex,Open price,6.45
flex,Change $,0.18
flex,Volume,3868464.0
flex,Today's high,6.61
flex,Today's low,6.42
flex,Previous close,6.42
flex,52wk High,8.5
flex,52wk Low,4.86
flex,Shares Outstanding,758009000.0
flex,Market cap,5002859400.0
flex,EPS,0.75
flir,Change %,1.45
flir,Last trading price,34.2
flir,Open price,33.58
flir,Change $,0.49
flir,Volume,1056852.0
flir,Today's high,34.28
flir,Today's low,33.34
flir,Previous close,33.71
flir,52wk High,37.29
flir,52wk Low,24.0
flir,Shares Outstanding,159683000.0
flir,Market cap,5461158600.0
flir,Yield,0.71
flir,Dividend,0.24
flir,EPS,1.51
fslr,Change %,0.6
fslr,Last trading price,133.06
fslr,Open price,130.66
fslr,Change $,0.79
fslr,Volume,1735871.0
fslr,Today's high,133.48
fslr,Today's low,129.1109
fslr,Previous close,132.27
fslr,52wk High,175.449
fslr,52wk Low,111.4
fslr,Shares Outstanding,86161000.0
fslr,Market cap,11464582660.0
fslr,EPS,7.01
gild,Change %,1.3
gild,Last trading price,41.95
gild,Open price,41.44
gild,Change $,0.54
gild,Volume,6135825.0
gild,Today's high,41.97
gild,Today's low,41.38
gild,Previous close,41.41
gild,52wk High,42.93
gild,52wk Low,31.73
gild,Shares Outstanding,787054000.0
gild,Market cap,33016915300.0
gild,EPS,3.18
gmcr,Change %,1.22
gmcr,Last trading price,90.35
gmcr,Open price,89.61
gmcr,Change $,1.09
gmcr,Volume,1174196.0
gmcr,Today's high,90.94
gmcr,Today's low,89.16
gmcr,Previous close,89.26
gmcr,52wk High,90.01
gmcr,52wk Low,24.84
gmcr,Shares Outstanding,152785000.0
gmcr,Market cap,13804124750.0
gmcr,EPS,0.79
goog,Change %,2.89
goog,Last trading price,521.028
goog,Open price,506.74
goog,Change $,14.648
goog,Volume,3594065.0
goog,Today's high,521.18
goog,Today's low,506.38
goog,Previous close,506.38
goog,52wk High,642.96
goog,52wk Low,433.63
goog,Shares Outstanding,252993000.0
goog,Market cap,131816436804.0
goog,EPS,27.28
grmn,Change %,1.67
grmn,Last trading price,33.58
grmn,Open price,33.12
grmn,Change $,0.55
grmn,Volume,1253241.0
grmn,Today's high,33.72
grmn,Today's low,33.05
grmn,Previous close,33.03
grmn,52wk High,36.42
grmn,52wk Low,26.11
grmn,Shares Outstanding,208077000.0
grmn,Market cap,6987225660.0
grmn,Yield,4.54
grmn,Dividend,1.501
grmn,EPS,3.27
hpq,Change %,1.77
hpq,Last trading price,37.045
hpq,Change $,0.645
hpq,Volume,13515262.0
hpq,Today's high,37.13
hpq,Today's low,36.34
hpq,Previous close,36.4
hpq,52wk High,49.39
hpq,52wk Low,33.95
hpq,Shares Outstanding,2074156000.0
hpq,Market cap,76837109020.0
hpq,Yield,1.32
hpq,Dividend,0.48
hpq,EPS,4.07
hsic,Change %,1.89
hsic,Last trading price,72.94
hsic,Open price,71.73
hsic,Change $,1.35
hsic,Volume,388970.0
hsic,Today's high,73.01
hsic,Today's low,71.28
hsic,Previous close,71.59
hsic,52wk High,74.48
hsic,52wk Low,50.96
hsic,Shares Outstanding,92252000.0
hsic,Market cap,6728860880.0
hsic,EPS,3.66
ilmn,Change %,1.14
ilmn,Last trading price,76.01
ilmn,Open price,75.16
ilmn,Change $,0.86
ilmn,Volume,1127564.0
ilmn,Today's high,76.39
ilmn,Today's low,74.85
ilmn,Previous close,75.15
ilmn,52wk High,76.81
ilmn,52wk Low,41.155
ilmn,Shares Outstanding,123132000.0
ilmn,Market cap,9359263320.0
ilmn,EPS,0.86
infy,Change %,1.29
infy,Last trading price,66.07
infy,Open price,65.6
infy,Change $,0.84
infy,Volume,1123894.0
infy,Today's high,66.14
infy,Today's low,65.26
infy,Previous close,65.23
infy,52wk High,77.92
infy,52wk Low,56.73
infy,Shares Outstanding,571318000.0
infy,Market cap,37746980260.0
infy,EPS,2.61
intc,Change %,1.67
intc,Last trading price,22.53
intc,Open price,22.25
intc,Change $,0.37
intc,Volume,35364863.0
intc,Today's high,22.58
intc,Today's low,22.1
intc,Previous close,22.16
intc,52wk High,23.96
intc,52wk Low,17.6
intc,Shares Outstanding,5302000000.0
intc,Market cap,119454060000.0
intc,Yield,3.27
intc,Dividend,0.7248
intc,EPS,2.18
intu,Change %,0.73
intu,Last trading price,52.24
intu,Open price,51.97
intu,Change $,0.38
intu,Volume,1561430.0
intu,Today's high,52.37
intu,Today's low,51.63
intu,Previous close,51.86
intu,52wk High,56.46
intu,52wk Low,34.0
intu,Shares Outstanding,302581000.0
intu,Market cap,15806831440.0
intu,EPS,2.06
isrg,Change %,1.76
isrg,Last trading price,378.65
isrg,Open price,373.25
isrg,Change $,6.54
isrg,Volume,228489.0
isrg,Today's high,379.4
isrg,Today's low,371.44
isrg,Previous close,372.11
isrg,52wk High,377.84
isrg,52wk Low,246.05
isrg,Shares Outstanding,39288000.0
isrg,Market cap,14876401200.0
isrg,EPS,9.94
joyg,Change %,1.99
joyg,Last trading price,97.14
joyg,Open price,94.68
joyg,Change $,1.9
joyg,Volume,1967331.0
joyg,Today's high,97.53
joyg,Today's low,93.69
joyg,Previous close,95.24
joyg,52wk High,103.44
joyg,52wk Low,48.05
joyg,Shares Outstanding,104787000.0
joyg,Market cap,10179009180.0
joyg,Yield,0.73
joyg,Dividend,0.7
joyg,EPS,5.0
klac,Change %,2.4
klac,Last trading price,41.45
klac,Open price,40.53
klac,Change $,0.97
klac,Volume,1731795.0
klac,Today's high,41.631
klac,Today's low,40.21
klac,Previous close,40.48
klac,52wk High,51.83
klac,52wk Low,26.69
klac,Shares Outstanding,167903000.0
klac,Market cap,6959579350.0
klac,Yield,2.47
klac,Dividend,1.0
klac,EPS,3.88
life,Change %,0.5
life,Last trading price,52.33
life,Open price,52.24
life,Change $,0.26
life,Volume,2310985.0
life,Today's high,52.61
life,Today's low,51.83
life,Previous close,52.07
life,52wk High,57.25
life,52wk Low,41.1
life,Shares Outstanding,178766000.0
life,Market cap,9354824780.0
life,EPS,2.01
linta,Change %,2.5
linta,Last trading price,17.19
linta,Open price,16.78
linta,Change $,0.42
linta,Volume,3342206.0
linta,Today's high,17.24
linta,Today's low,16.7
linta,Previous close,16.77
linta,52wk High,18.645
linta,52wk Low,10.075
linta,Shares Outstanding,572144000.0
linta,Market cap,9835155360.0
linta,EPS,1.0
lltc,Change %,1.24
lltc,Last trading price,33.43
lltc,Open price,33.09
lltc,Change $,0.41
lltc,Volume,2109369.0
lltc,Today's high,33.54
lltc,Today's low,32.97
lltc,Previous close,33.02
lltc,52wk High,36.14
lltc,52wk Low,27.03
lltc,Shares Outstanding,227734000.0
lltc,Market cap,7613147620.0
lltc,Yield,2.91
lltc,Dividend,0.96
lltc,EPS,2.36
lrcx,Change %,2.24
lrcx,Last trading price,45.27
lrcx,Open price,44.32
lrcx,Change $,0.99
lrcx,Volume,1518071.0
lrcx,Today's high,45.65
lrcx,Today's low,43.8992
lrcx,Previous close,44.28
lrcx,52wk High,59.1
lrcx,52wk Low,35.39
lrcx,Shares Outstanding,124491000.0
lrcx,Market cap,5635707570.0
lrcx,EPS,5.88
mat,Change %,1.82
mat,Last trading price,27.99
mat,Open price,27.55
mat,Change $,0.5
mat,Volume,2211845.0
mat,Today's high,28.0
mat,Today's low,27.49
mat,Previous close,27.49
mat,52wk High,27.73
mat,52wk Low,20.57
mat,Shares Outstanding,347588000.0
mat,Market cap,9728988120.0
mat,Yield,3.35
mat,Dividend,0.92
mat,EPS,1.85
mchp,Change %,1.16
mchp,Last trading price,38.35
mchp,Open price,37.98
mchp,Change $,0.44
mchp,Volume,1383356.0
mchp,Today's high,38.49
mchp,Today's low,37.76
mchp,Previous close,37.91
mchp,52wk High,41.5
mchp,52wk Low,27.19
mchp,Shares Outstanding,190480000.0
mchp,Market cap,7304908000.0
mchp,Yield,3.65
mchp,Dividend,1.384
mchp,EPS,2.14
mrvl,Change %,2.34
mrvl,Last trading price,15.11
mrvl,Open price,14.79
mrvl,Change $,0.345
mrvl,Volume,9688961.0
mrvl,Today's high,15.2
mrvl,Today's low,14.7
mrvl,Previous close,14.765
mrvl,52wk High,22.01
mrvl,52wk Low,13.17
mrvl,Shares Outstanding,611318000.0
mrvl,Market cap,9237014980.0
mrvl,EPS,1.26
msft,Change %,0.08
msft,Last trading price,26.02
msft,Open price,25.95
msft,Change $,0.02
msft,Volume,49590671.0
msft,Today's high,26.17
msft,Today's low,25.84
msft,Previous close,26.0
msft,52wk High,29.46
msft,52wk Low,22.73
msft,Shares Outstanding,8432767000.0
msft,Market cap,219420597340.0
msft,Yield,2.46
msft,Dividend,0.64
msft,EPS,2.51
mu,Change %,4.68
mu,Last trading price,7.83
mu,Open price,7.46
mu,Change $,0.35
mu,Volume,30554681.0
mu,Today's high,7.85
mu,Today's low,7.37
mu,Previous close,7.48
mu,52wk High,11.95
mu,52wk Low,6.36
mu,Shares Outstanding,1001471000.0
mu,Market cap,7841517930.0
mu,EPS,0.61
mxim,Change %,1.29
mxim,Last trading price,25.89
mxim,Open price,25.56
mxim,Change $,0.33
mxim,Volume,1652343.0
mxim,Today's high,26.09
mxim,Today's low,25.48
mxim,Previous close,25.56
mxim,52wk High,28.44
mxim,52wk Low,15.67
mxim,Shares Outstanding,295368000.0
mxim,Market cap,7647077520.0
mxim,Yield,3.29
mxim,Dividend,0.84
mxim,EPS,1.39
myl,Change %,1.22
myl,Last trading price,24.97
myl,Open price,24.67
myl,Change $,0.3
myl,Volume,4476181.0
myl,Today's high,24.99
myl,Today's low,24.52
myl,Previous close,24.67
myl,52wk High,25.46
myl,52wk Low,16.55
myl,Shares Outstanding,439251000.0
myl,Market cap,10968097470.0
myl,Yield,0.97
myl,Dividend,0.24
myl,EPS,0.73
nflx,Change %,2.02
nflx,Last trading price,267.99
nflx,Open price,262.06
nflx,Change $,5.3
nflx,Volume,3983324.0
nflx,Today's high,268.26
nflx,Today's low,262.06
nflx,Previous close,262.69
nflx,52wk High,277.7
nflx,52wk Low,95.33
nflx,Shares Outstanding,52491000.0
nflx,Market cap,14067063090.0
nflx,EPS,3.48
nihd,Change %,1.82
nihd,Last trading price,43.15
nihd,Open price,42.27
nihd,Change $,0.77
nihd,Volume,978948.0
nihd,Today's high,43.18
nihd,Today's low,41.97
nihd,Previous close,42.38
nihd,52wk High,46.32
nihd,52wk Low,32.36
nihd,Shares Outstanding,170197000.0
nihd,Market cap,7344000550.0
nihd,EPS,2.36
ntap,Change %,2.92
ntap,Last trading price,54.32
ntap,Open price,53.51
ntap,Change $,1.54
ntap,Volume,8699525.0
ntap,Today's high,54.57
ntap,Today's low,53.07
ntap,Previous close,52.78
ntap,52wk High,61.02
ntap,52wk Low,36.66
ntap,Shares Outstanding,367872000.0
ntap,Market cap,19982807040.0
ntap,EPS,1.62
nvda,Change %,1.32
nvda,Last trading price,16.145
nvda,Open price,15.94
nvda,Change $,0.21
nvda,Volume,13396378.0
nvda,Today's high,16.21
nvda,Today's low,15.62
nvda,Previous close,15.935
nvda,52wk High,26.17
nvda,52wk Low,8.65
nvda,Shares Outstanding,600288000.0
nvda,Market cap,9691649760.0
nvda,EPS,0.4
nwsa,Change %,2.03
nwsa,Last trading price,18.06
nwsa,Open price,17.74
nwsa,Change $,0.36
nwsa,Volume,12861466.0
nwsa,Today's high,18.07
nwsa,Today's low,17.58
nwsa,Previous close,17.7
nwsa,52wk High,18.35
nwsa,52wk Low,11.61
nwsa,Shares Outstanding,1828109000.0
nwsa,Market cap,33015648540.0
nwsa,Yield,0.85
nwsa,Dividend,0.15
nwsa,EPS,1.11
orcl,Change %,0.43
orcl,Last trading price,33.05
orcl,Open price,32.89
orcl,Change $,0.14
orcl,Volume,25214864.0
orcl,Today's high,33.2
orcl,Today's low,32.48
orcl,Previous close,32.91
orcl,52wk High,36.5
orcl,52wk Low,21.24
orcl,Shares Outstanding,5060516000.0
orcl,Market cap,167250053800.0
orcl,Yield,0.73
orcl,Dividend,0.24
orcl,EPS,1.67
orly,Change %,1.07
orly,Last trading price,66.21
orly,Open price,65.61
orly,Change $,0.7
orly,Volume,1642876.0
orly,Today's high,66.52
orly,Today's low,65.55
orly,Previous close,65.51
orly,52wk High,65.63
orly,52wk Low,45.65
orly,Shares Outstanding,137870000.0
orly,Market cap,9128372700.0
orly,EPS,2.99
payx,Change %,1.07
payx,Last trading price,31.05
payx,Open price,30.6
payx,Change $,0.33
payx,Volume,2070249.0
payx,Today's high,31.09
payx,Today's low,30.6
payx,Previous close,30.72
payx,52wk High,33.91
payx,52wk Low,24.6519
payx,Shares Outstanding,361850000.0
payx,Market cap,11235442500.0
payx,Yield,4.04
payx,Dividend,1.24
payx,EPS,1.42
pcar,Change %,1.88
pcar,Last trading price,52.05
pcar,Open price,51.24
pcar,Change $,0.96
pcar,Volume,1983039.0
pcar,Today's high,52.17
pcar,Today's low,50.62
pcar,Previous close,51.09
pcar,52wk High,58.75
pcar,52wk Low,38.6
pcar,Shares Outstanding,365469000.0
pcar,Market cap,19022661450.0
pcar,Yield,0.94
pcar,Dividend,0.48
pcar,EPS,1.59
pcln,Change %,2.51
pcln,Last trading price,524.798
pcln,Open price,513.39
pcln,Change $,12.868
pcln,Volume,1056407.0
pcln,Today's high,525.24
pcln,Today's low,510.0
pcln,Previous close,511.93
pcln,52wk High,561.88
pcln,52wk Low,173.75
pcln,Shares Outstanding,49647000.0
pcln,Market cap,26054646306.0
pcln,EPS,11.38
qcom,Change %,1.92
qcom,Last trading price,57.88
qcom,Open price,56.79
qcom,Change $,1.09
qcom,Volume,12028798.0
qcom,Today's high,57.98
qcom,Today's low,56.44
qcom,Previous close,56.79
qcom,52wk High,59.84
qcom,52wk Low,31.63
qcom,Shares Outstanding,1669532000.0
qcom,Market cap,96632512160.0
qcom,Yield,1.51
