,Object,Property,Value,Source
115,sial,Last trading price,74.24,easystockalterts
116,sial,Open price,73.54,easystockalterts
117,sial,Change $,0.86,easystockalterts
118,sial,Volume,673214.0,easystockalterts
119,sial,Today's high,74.27,easystockalterts
120,sial,Today's low,73.07,easystockalterts
121,sial,Previous close,73.38,easystockalterts
122,sial,52wk High,73.6,easystockalterts
123,sial,52wk Low,48.8,easystockalterts
124,sial,EPS,3.28,easystockalterts
125,sial,Change %,1.17,eresearch-fidelity-com
126,sial,Last trading price,74.24,eresearch-fidelity-com
127,sial,Open price,73.54,eresearch-fidelity-com
128,sial,Change $,0.86,eresearch-fidelity-com
129,sial,Volume,673614.0,eresearch-fidelity-com
130,sial,Today's high,74.265,eresearch-fidelity-com
131,sial,Today's low,73.07,eresearch-fidelity-com
132,sial,Previous close,73.38,eresearch-fidelity-com
133,sial,52wk High,73.6,eresearch-fidelity-com
134,sial,52wk Low,48.8,eresearch-fidelity-com
135,sial,Shares Outstanding,121827000.0,eresearch-fidelity-com
136,sial,Market cap,8940000000.0,eresearch-fidelity-com
137,sial,Yield,0.98,eresearch-fidelity-com
138,sial,Dividend,0.18,eresearch-fidelity-com
139,sial,Change %,1.172,finance-abc7-com
140,sial,Last trading price,74.24,finance-abc7-com
141,sial,Open price,73.54,finance-abc7-com
142,sial,Change $,0.86,finance-abc7-com
143,sial,Volume,673214.0,finance-abc7-com
144,sial,Today's high,74.27,finance-abc7-com
145,sial,Today's low,73.07,finance-abc7-com
146,sial,Previous close,73.38,finance-abc7-com
147,sial,52wk High,73.6,finance-abc7-com
148,sial,52wk Low,48.8,finance-abc7-com
149,sial,Shares Outstanding,121826546.0,finance-abc7-com
150,sial,Change %,1.172,finance-abc7chicago-com
151,sial,Last trading price,74.24,finance-abc7chicago-com
152,sial,Open price,73.54,finance-abc7chicago-com
153,sial,Change $,0.86,finance-abc7chicago-com
154,sial,Volume,673214.0,finance-abc7chicago-com
155,sial,Today's high,74.27,finance-abc7chicago-com
156,sial,Today's low,73.07,finance-abc7chicago-com
157,sial,Previous close,73.38,finance-abc7chicago-com
158,sial,52wk High,73.6,finance-abc7chicago-com
159,sial,52wk Low,48.8,finance-abc7chicago-com
160,sial,Shares Outstanding,121826546.0,finance-abc7chicago-com
161,sial,Change %,1.172,financial-content
162,sial,Last trading price,74.24,financial-content
163,sial,Open price,73.54,financial-content
164,sial,Change $,0.86,financial-content
165,sial,Volume,673214.0,financial-content
166,sial,Today's high,74.27,financial-content
167,sial,Today's low,73.07,financial-content
168,sial,Previous close,73.38,financial-content
169,sial,52wk High,73.6,financial-content
170,sial,52wk Low,48.8,financial-content
171,sial,Shares Outstanding,121826546.0,financial-content
172,sial,Change %,1.2,finapps-forbes-com
173,sial,Last trading price,74.24,finapps-forbes-com
174,sial,Open price,73.54,finapps-forbes-com
175,sial,Change $,0.86,finapps-forbes-com
176,sial,Volume,673614.0,finapps-forbes-com
177,sial,Today's high,74.26,finapps-forbes-com
178,sial,Today's low,73.07,finapps-forbes-com
179,sial,Previous close,73.38,finapps-forbes-com
180,sial,52wk High,73.6,finapps-forbes-com
181,sial,52wk Low,48.8,finapps-forbes-com
182,sial,Shares Outstanding,122000000.0,finapps-forbes-com
183,sial,Market cap,9000000000.0,finapps-forbes-com
184,sial,Yield,1.0,finapps-forbes-com
185,sial,Dividend,0.72,finapps-forbes-com
186,sial,EPS,3.28,finapps-forbes-com
187,sial,Change %,1.17,finviz
188,sial,Last trading price,74.24,finviz
189,sial,Volume,673614.0,finviz
190,sial,Previous close,73.38,finviz
191,sial,52wk High,0.87,finviz
192,sial,52wk Low,53.82,finviz
193,sial,Shares Outstanding,121830000.0,finviz
194,sial,Market cap,8940000000.0,finviz
195,sial,Dividend,0.72,finviz
196,sial,EPS,3.28,finviz
197,sial,Change %,1.17,fool
198,sial,Last trading price,74.24,fool
199,sial,Open price,73.54,fool
200,sial,Change $,0.86,fool
201,sial,Volume,673614.0,fool
202,sial,Today's high,74.26,fool
203,sial,Today's low,73.07,fool
204,sial,Previous close,73.38,fool
205,sial,52wk High,73.6,fool
206,sial,52wk Low,48.8,fool
207,sial,Market cap,9040000000.0,fool
208,sial,Yield,1.2,fool
209,sial,Dividend,0.72,fool
210,sial,Last trading price,74.24,foxbusiness
211,sial,Change $,0.86,foxbusiness
212,sial,Volume,675863.0,foxbusiness
213,sial,Previous close,73.38,foxbusiness
214,sial,Change %,1.17,google-finance
215,sial,Last trading price,74.24,google-finance
216,sial,Open price,73.54,google-finance
217,sial,Change $,0.86,google-finance
218,sial,Volume,673614.0,google-finance
219,sial,Today's high,74.26,google-finance
220,sial,Today's low,73.07,google-finance
221,sial,52wk High,74.26,google-finance
222,sial,52wk Low,48.8,google-finance
223,sial,Shares Outstanding,121800000.0,google-finance
224,sial,Market cap,9040000000.0,google-finance
225,sial,Yield,0.97,google-finance
226,sial,Dividend,0.18,google-finance
227,sial,EPS,3.28,google-finance
228,sial,Change %,1.172,howthemarketworks
229,sial,Last trading price,74.24,howthemarketworks
230,sial,Open price,73.54,howthemarketworks
231,sial,Change $,0.86,howthemarketworks
232,sial,Volume,673214.0,howthemarketworks
233,sial,Today's high,74.265,howthemarketworks
234,sial,Today's low,73.07,howthemarketworks
235,sial,Previous close,73.38,howthemarketworks
236,sial,Change %,1.172,hpcwire
237,sial,Last trading price,74.24,hpcwire
238,sial,Open price,73.54,hpcwire
239,sial,Change $,0.86,hpcwire
240,sial,Volume,674263.0,hpcwire
241,sial,Today's high,74.27,hpcwire
242,sial,Today's low,73.07,hpcwire
243,sial,Previous close,73.38,hpcwire
244,sial,52wk High,73.6,hpcwire
245,sial,52wk Low,48.8,hpcwire
246,sial,Shares Outstanding,121826546.0,hpcwire
247,sial,Change %,1.17,insidestocks
248,sial,Last trading price,74.24,insidestocks
249,sial,Open price,73.54,insidestocks
250,sial,Change $,0.86,insidestocks
251,sial,Volume,582930.0,insidestocks
252,sial,Today's high,74.26,insidestocks
253,sial,Today's low,73.07,insidestocks
254,sial,Change %,1.1,investopedia
255,sial,Last trading price,74.19,investopedia
256,sial,Open price,73.54,investopedia
257,sial,Change $,0.81,investopedia
258,sial,Previous close,73.38,investopedia
259,sial,Change %,1.17,investorguide
260,sial,Last trading price,74.24,investorguide
261,sial,Open price,73.54,investorguide
262,sial,Change $,0.86,investorguide
263,sial,Today's high,74.265,investorguide
264,sial,Today's low,73.07,investorguide
265,sial,52wk High,73.6,investorguide
266,sial,52wk Low,48.8,investorguide
267,sial,Market cap,9044000000.0,investorguide
268,sial,EPS,3.28,investorguide
269,sial,Change %,1.17,marketintellisearch
270,sial,Last trading price,74.24,marketintellisearch
271,sial,Open price,73.54,marketintellisearch
272,sial,Change $,0.86,marketintellisearch
273,sial,Volume,666.8,marketintellisearch
274,sial,Today's high,74.26,marketintellisearch
275,sial,Today's low,73.07,marketintellisearch
276,sial,Previous close,73.38,marketintellisearch
277,sial,Shares Outstanding,121830000.0,marketintellisearch
278,sial,Market cap,8940000000.0,marketintellisearch
279,sial,Yield,0.98,marketintellisearch
280,sial,EPS,3.28,marketintellisearch
281,sial,Change %,1.17,marketwatch
282,sial,Last trading price,74.19,marketwatch
283,sial,Open price,73.54,marketwatch
284,sial,Change $,0.86,marketwatch
285,sial,Volume,11480.0,marketwatch
286,sial,Today's high,74.27,marketwatch
287,sial,Today's low,73.07,marketwatch
288,sial,Previous close,73.38,marketwatch
289,sial,52wk High,74.27,marketwatch
290,sial,52wk Low,49.44,marketwatch
291,sial,Market cap,8730000000.0,marketwatch
292,sial,Yield,0.97,marketwatch
293,sial,Dividend,0.18,marketwatch
294,sial,EPS,3.28,marketwatch
295,sial,Change %,1.172,minyanville
296,sial,Last trading price,74.24,minyanville
297,sial,Open price,73.54,minyanville
298,sial,Change $,0.86,minyanville
299,sial,Volume,673214.0,minyanville
300,sial,Today's high,74.27,minyanville
301,sial,Today's low,73.07,minyanville
302,sial,Previous close,73.38,minyanville
303,sial,52wk High,73.6,minyanville
304,sial,52wk Low,48.8,minyanville
305,sial,Shares Outstanding,121826546.0,minyanville
306,sial,Change %,1.17,msn-money
307,sial,Last trading price,74.24,msn-money
308,sial,Open price,73.54,msn-money
309,sial,Change $,0.86,msn-money
310,sial,Volume,673614.0,msn-money
311,sial,Today's high,74.27,msn-money
312,sial,Today's low,73.07,msn-money
313,sial,Previous close,73.38,msn-money
314,sial,52wk High,73.6,msn-money
315,sial,52wk Low,48.8,msn-money
316,sial,Shares Outstanding,121830000.0,msn-money
317,sial,Market cap,8940000000.0,msn-money
318,sial,Yield,0.98,msn-money
319,sial,Dividend,0.72,msn-money
320,sial,EPS,3.28,msn-money
321,sial,Change %,1.17,nasdaq-com
322,sial,Last trading price,74.24,nasdaq-com
323,sial,Open price,73.54,nasdaq-com
324,sial,Change $,0.86,nasdaq-com
325,sial,Volume,673614.0,nasdaq-com
326,sial,Today's high,74.265,nasdaq-com
327,sial,Today's low,73.07,nasdaq-com
328,sial,Previous close,73.38,nasdaq-com
329,sial,52wk High,73.6,nasdaq-com
330,sial,52wk Low,48.8,nasdaq-com
331,sial,Shares Outstanding,121827000.0,nasdaq-com
332,sial,Market cap,9044436480.0,nasdaq-com
333,sial,Yield,0.98,nasdaq-com
334,sial,Dividend,0.72,nasdaq-com
335,sial,EPS,3.28,nasdaq-com
336,sial,Change %,1.17,optimum
337,sial,Last trading price,74244000.0,optimum
338,sial,Open price,73.54,optimum
339,sial,Change $,0.86,optimum
340,sial,Volume,673214.0,optimum
341,sial,Today's high,74.27,optimum
342,sial,Today's low,73.07,optimum
343,sial,Previous close,73.38,optimum
344,sial,52wk High,73.6,optimum
345,sial,52wk Low,48.8,optimum
346,sial,Shares Outstanding,121830000.0,optimum
347,sial,Market cap,9000000000.0,optimum
348,sial,Yield,0.97,optimum
349,sial,Dividend,0.72,optimum
350,sial,EPS,3.28,optimum
351,sial,Change %,1.172,paidcontent
352,sial,Last trading price,74.24,paidcontent
353,sial,Open price,73.54,paidcontent
354,sial,Change $,0.86,paidcontent
355,sial,Volume,673214.0,paidcontent
356,sial,Today's high,74.27,paidcontent
357,sial,Today's low,73.07,paidcontent
358,sial,Previous close,73.38,paidcontent
359,sial,52wk High,73.6,paidcontent
360,sial,52wk Low,48.8,paidcontent
361,sial,Shares Outstanding,121826546.0,paidcontent
362,sial,Change %,1.17,pc-quote
363,sial,Last trading price,74.24,pc-quote
364,sial,Open price,73.54,pc-quote
365,sial,Change $,0.86,pc-quote
366,sial,Volume,678969.0,pc-quote
367,sial,Today's high,74.265,pc-quote
368,sial,Today's low,73.07,pc-quote
369,sial,Previous close,73.38,pc-quote
370,sial,52wk High,73.6,pc-quote
371,sial,52wk Low,48.8,pc-quote
372,sial,Shares Outstanding,120391043.0,pc-quote
373,sial,Market cap,8937831000.0,pc-quote
374,sial,Dividend,0.18,pc-quote
375,sial,Change %,1.17,personal-wealth-biz
376,sial,Last trading price,74.24,personal-wealth-biz
377,sial,Open price,73.54,personal-wealth-biz
378,sial,Volume,675863.0,personal-wealth-biz
379,sial,Today's high,74.265,personal-wealth-biz
380,sial,Today's low,73.07,personal-wealth-biz
381,sial,Previous close,73.38,personal-wealth-biz
382,sial,52wk High,73.6,personal-wealth-biz
383,sial,52wk Low,48.8,personal-wealth-biz
384,sial,Yield,0.93,personal-wealth-biz
385,sial,Dividend,0.68,personal-wealth-biz
386,sial,EPS,3.28,personal-wealth-biz
387,sial,Change %,1.17,predictwallstreet
388,sial,Last trading price,74.24,predictwallstreet
389,sial,Change $,0.86,predictwallstreet
390,sial,Volume,673614.0,predictwallstreet
391,sial,Change %,1.17,raymond-james
392,sial,Last trading price,74.24,raymond-james
393,sial,Open price,73.54,raymond-james
394,sial,Change $,0.86,raymond-james
395,sial,Volume,673614.0,raymond-james
396,sial,Today's high,74.27,raymond-james
397,sial,Today's low,73.07,raymond-james
398,sial,Previous close,74.24,raymond-james
399,sial,52wk High,73.6,raymond-james
400,sial,52wk Low,48.8,raymond-james
401,sial,EPS,3.33,raymond-james
402,sial,Change %,1.172,renewable-energy-world
403,sial,Last trading price,74.24,renewable-energy-world
404,sial,Open price,73.54,renewable-energy-world
405,sial,Change $,0.86,renewable-energy-world
406,sial,Volume,673214.0,renewable-energy-world
407,sial,Today's high,74.27,renewable-energy-world
408,sial,Today's low,73.07,renewable-energy-world
409,sial,Previous close,73.38,renewable-energy-world
410,sial,52wk High,73.6,renewable-energy-world
411,sial,52wk Low,48.8,renewable-energy-world
412,sial,Shares Outstanding,121826546.0,renewable-energy-world
413,sial,Change %,1.17,screamingmedia
414,sial,Last trading price,1.0,screamingmedia
415,sial,Open price,73.54,screamingmedia
416,sial,Change $,0.86,screamingmedia
417,sial,Volume,10431.0,screamingmedia
418,sial,Today's high,74.27,screamingmedia
419,sial,Today's low,73.07,screamingmedia
420,sial,Previous close,73.38,screamingmedia
421,sial,52wk High,74.27,screamingmedia
422,sial,52wk Low,49.44,screamingmedia
423,sial,Market cap,8730000000.0,screamingmedia
424,sial,Yield,0.97,screamingmedia
425,sial,Dividend,0.18,screamingmedia
426,sial,EPS,3.28,screamingmedia
427,sial,Change %,1.17,scroli
428,sial,Last trading price,74.24,scroli
429,sial,Open price,73.54,scroli
430,sial,Change $,0.86,scroli
431,sial,Volume,594689.0,scroli
432,sial,Today's high,74.26,scroli
433,sial,Today's low,73.07,scroli
434,sial,Previous close,73.38,scroli
435,sial,52wk High,74.26,scroli
436,sial,52wk Low,48.8,scroli
437,sial,EPS,3.28,scroli
438,sial,Change %,1.17,simple-stock-quotes
439,sial,Last trading price,74.24,simple-stock-quotes
440,sial,Change $,0.86,simple-stock-quotes
441,sial,Change %,1.17,smartmoney
442,sial,Last trading price,74.24,smartmoney
443,sial,Open price,73.54,smartmoney
444,sial,Change $,0.86,smartmoney
445,sial,Volume,674663.0,smartmoney
446,sial,Today's high,74.26,smartmoney
447,sial,Today's low,73.07,smartmoney
448,sial,Previous close,73.38,smartmoney
449,sial,52wk High,73.6,smartmoney
450,sial,52wk Low,48.8,smartmoney
451,sial,Market cap,8939600.0,smartmoney
452,sial,Yield,0.98,smartmoney
453,sial,Dividend,0.18,smartmoney
454,sial,Change %,1.172,stocknod
455,sial,Last trading price,74.24,stocknod
456,sial,Open price,73.54,stocknod
457,sial,Change $,0.86,stocknod
458,sial,Volume,674263.0,stocknod
459,sial,Today's high,74.27,stocknod
460,sial,Today's low,73.07,stocknod
461,sial,Previous close,73.38,stocknod
462,sial,52wk High,73.6,stocknod
463,sial,52wk Low,48.8,stocknod
464,sial,Shares Outstanding,121826546.0,stocknod
465,sial,Change %,1.17,stockpickr
466,sial,Last trading price,7424086117.0,stockpickr
467,sial,Open price,73.54,stockpickr
468,sial,Change $,0.86,stockpickr
469,sial,Volume,674.66,stockpickr
470,sial,Today's high,74.26,stockpickr
471,sial,Today's low,73.07,stockpickr
472,sial,Previous close,73.38,stockpickr
473,sial,52wk High,73.6,stockpickr
474,sial,52wk Low,48.8,stockpickr
475,sial,Change %,0.0,stocksmart
476,sial,Last trading price,68.76,stocksmart
477,sial,Open price,66.85,stocksmart
478,sial,Change $,0.0,stocksmart
479,sial,Volume,70847.0,stocksmart
480,sial,Today's high,70.36,stocksmart
481,sial,Today's low,68.68,stocksmart
482,sial,Change %,1.17,stocktwits
483,sial,Last trading price,74.24,stocktwits
484,sial,Change $,0.86,stocktwits
485,sial,Change %,1.17,streetinsider-com
486,sial,Last trading price,74.24,streetinsider-com
487,sial,Open price,73.54,streetinsider-com
488,sial,Change $,0.86,streetinsider-com
489,sial,Volume,673214.0,streetinsider-com
490,sial,Today's high,74.27,streetinsider-com
491,sial,Today's low,73.07,streetinsider-com
492,sial,Previous close,73.38,streetinsider-com
493,sial,52wk High,73.6,streetinsider-com
494,sial,52wk Low,48.8,streetinsider-com
495,sial,EPS,3.28,streetinsider-com
496,sial,Last trading price,74.24,thecramerreport
497,sial,Open price,73.54,thecramerreport
498,sial,Change $,0.86,thecramerreport
499,sial,Volume,673614.0,thecramerreport
500,sial,Today's high,74.265,thecramerreport
501,sial,Today's low,73.07,thecramerreport
502,sial,Change %,1.17,thestree
503,sial,Last trading price,74.24,thestree
504,sial,Open price,73.54,thestree
505,sial,Change $,0.86,thestree
506,sial,Volume,673614.0,thestree
507,sial,Today's high,74.26,thestree
508,sial,Today's low,73.07,thestree
509,sial,Previous close,73.38,thestree
510,sial,52wk High,73.6,thestree
511,sial,52wk Low,48.8,thestree
512,sial,Shares Outstanding,1.218265468,thestree
513,sial,Market cap,8.7313085529,thestree
514,sial,Change %,1.17,tickerspy
515,sial,Last trading price,74.24,tickerspy
516,sial,Open price,73.54,tickerspy
517,sial,Change $,0.86,tickerspy
518,sial,Volume,673614.0,tickerspy
519,sial,Today's high,74.27,tickerspy
520,sial,Today's low,73.07,tickerspy
521,sial,Previous close,73.38,tickerspy
522,sial,52wk High,73.6,tickerspy
523,sial,52wk Low,48.8,tickerspy
524,sial,Market cap,8900000000.0,tickerspy
525,sial,Yield,0.98,tickerspy
526,sial,Dividend,0.18,tickerspy
527,sial,Change %,1.17,tmx-quotemedia
528,sial,Last trading price,74.24,tmx-quotemedia
529,sial,Open price,73.54,tmx-quotemedia
530,sial,Change $,0.86,tmx-quotemedia
531,sial,Volume,671563.0,tmx-quotemedia
532,sial,Today's high,74.265,tmx-quotemedia
533,sial,Today's low,73.07,tmx-quotemedia
534,sial,Previous close,73.38,tmx-quotemedia
535,sial,52wk High,73.6,tmx-quotemedia
536,sial,52wk Low,48.8,tmx-quotemedia
537,sial,Shares Outstanding,121826546.0,tmx-quotemedia
538,sial,Market cap,9044402775.0,tmx-quotemedia
539,sial,Yield,0.981,tmx-quotemedia
540,sial,Dividend,0.18,tmx-quotemedia
541,sial,EPS,3.28,tmx-quotemedia
542,sial,Change %,1.17,updown
543,sial,Last trading price,74.24,updown
544,sial,Open price,73.54,updown
545,sial,Change $,0.86,updown
546,sial,Volume,668338.0,updown
547,sial,Today's high,74.27,updown
548,sial,Today's low,73.07,updown
549,sial,Previous close,73.38,updown
550,sial,52wk High,73.6,updown
551,sial,52wk Low,48.8,updown
552,sial,Shares Outstanding,121820000000.0,updown
553,sial,Market cap,8940000000.0,updown
554,sial,EPS,3.33,updown
555,sial,Change %,1.17,wallstreetsurvivor
556,sial,Last trading price,74.24,wallstreetsurvivor
557,sial,Open price,73.54,wallstreetsurvivor
558,sial,Change $,0.86,wallstreetsurvivor
559,sial,Volume,673214.0,wallstreetsurvivor
560,sial,Today's high,74.27,wallstreetsurvivor
561,sial,Today's low,73.07,wallstreetsurvivor
562,sial,52wk High,73.6,wallstreetsurvivor
563,sial,52wk Low,48.8,wallstreetsurvivor
564,sial,Market cap,9000000000.0,wallstreetsurvivor
565,sial,Yield,1.0,wallstreetsurvivor
566,sial,Dividend,0.64,wallstreetsurvivor
567,sial,EPS,3.12,wallstreetsurvivor
568,sial,Change %,1.17,yahoo-finance
569,sial,Last trading price,74.24,yahoo-finance
570,sial,Open price,73.54,yahoo-finance
571,sial,Change $,0.86,yahoo-finance
572,sial,Volume,673614.0,yahoo-finance
573,sial,Today's high,74.26,yahoo-finance
574,sial,Today's low,73.07,yahoo-finance
575,sial,Previous close,73.38,yahoo-finance
576,sial,52wk High,74.26,yahoo-finance
577,sial,52wk Low,48.8,yahoo-finance
578,sial,Market cap,9040000000.0,yahoo-finance
579,sial,Yield,1.0,yahoo-finance
580,sial,Dividend,0.72,yahoo-finance
581,sial,EPS,3.28,yahoo-finance
582,sial,Change %,1.17,ycharts-com
583,sial,Last trading price,74.24,ycharts-com
584,sial,Change $,0.86,ycharts-com
585,sial,52wk High,73.6,ycharts-com
586,sial,52wk Low,48.8,ycharts-com
587,sial,Market cap,9040000000.0,ycharts-com
588,sial,Yield,1.09,ycharts-com
589,sial,EPS,3.28,ycharts-com
590,sial,Change %,1.17,zacks
591,sial,Last trading price,74.24,zacks
592,sial,Change $,0.86,zacks
593,sial,Volume,0.673614,zacks
594,sial,Today's high,74.27,zacks
595,sial,Today's low,73.07,zacks
596,sial,52wk High,74.27,zacks
597,sial,52wk Low,48.8,zacks
598,sial,Market cap,8940000000.0,zacks
599,sial,Yield,0.98,zacks
600,sial,Dividend,0.72,zacks
601,sial,EPS,3.41,zacks
602,bmc,Change %,1.99,advfn
603,bmc,Last trading price,55.79,advfn
604,bmc,Open price,54.84,advfn
605,bmc,Change $,1.09,advfn
606,bmc,Volume,2300895.0,advfn
607,bmc,Today's high,56.1,advfn
608,bmc,Today's low,54.8,advfn
609,bmc,Change %,1.99,barchart
610,bmc,Last trading price,55.79,barchart
611,bmc,Open price,54.84,barchart
612,bmc,Change $,1.09,barchart
613,bmc,Volume,2153148.0,barchart
614,bmc,Today's high,56.1,barchart
615,bmc,Today's low,54.8,barchart
616,bmc,Previous close,54.7,barchart
617,bmc,52wk High,56.16,barchart
618,bmc,52wk Low,34.47,barchart
619,bmc,Market cap,9970000000.0,barchart
620,bmc,EPS,2.47,barchart
621,bmc,Change %,1.99,barrons
622,bmc,Last trading price,55.79,barrons
623,bmc,Open price,54.84,barrons
624,bmc,Change $,1.09,barrons
625,bmc,Volume,2299000.0,barrons
626,bmc,Today's high,56.1,barrons
627,bmc,Today's low,54.8,barrons
628,bmc,Shares Outstanding,182400000.0,barrons
629,bmc,Market cap,9500000000.0,barrons
630,bmc,Change %,1.993,bloomberg
631,bmc,Last trading price,55.79,bloomberg
632,bmc,Open price,54.84,bloomberg
633,bmc,Change $,1.09,bloomberg
634,bmc,Volume,2300895.0,bloomberg
635,bmc,Today's high,56.1,bloomberg
636,bmc,Today's low,54.8,bloomberg
637,bmc,52wk High,56.16,bloomberg
638,bmc,52wk Low,34.24,bloomberg
639,bmc,Shares Outstanding,176858000.0,bloomberg
640,bmc,Market cap,9866908000.0,bloomberg
641,bmc,EPS,2.23,bloomberg
642,bmc,Change %,1.993,boston-com
643,bmc,Last trading price,55.79,boston-com
644,bmc,Open price,54.84,boston-com
645,bmc,Change $,1.09,boston-com
646,bmc,Volume,2297174.0,boston-com
647,bmc,Today's high,56.1,boston-com
648,bmc,Today's low,54.8,boston-com
649,bmc,Previous close,54.7,boston-com
650,bmc,52wk High,55.24,boston-com
651,bmc,52wk Low,34.24,boston-com
652,bmc,Shares Outstanding,175929067.0,boston-com
653,bmc,Change %,1.993,bostonmerchant
654,bmc,Last trading price,55.79,bostonmerchant
655,bmc,Open price,54.84,bostonmerchant
656,bmc,Change $,1.09,bostonmerchant
657,bmc,Volume,2297174.0,bostonmerchant
658,bmc,Today's high,56.1,bostonmerchant
659,bmc,Today's low,54.8,bostonmerchant
660,bmc,Previous close,54.7,bostonmerchant
661,bmc,52wk High,55.24,bostonmerchant
662,bmc,52wk Low,34.24,bostonmerchant
663,bmc,Shares Outstanding,175929067.0,bostonmerchant
664,bmc,Change %,1.993,business-insider
665,bmc,Last trading price,55.79,business-insider
666,bmc,Open price,54.84,business-insider
667,bmc,Change $,1.09,business-insider
668,bmc,Volume,2297174.0,business-insider
669,bmc,Today's high,56.1,business-insider
670,bmc,Today's low,54.8,business-insider
671,bmc,Previous close,54.7,business-insider
672,bmc,52wk High,55.24,business-insider
673,bmc,52wk Low,34.24,business-insider
674,bmc,Shares Outstanding,175929067.0,business-insider
675,bmc,Change %,1.993,chron
