Object,Property,Value,Source,TSInitial,C_v
sial,Last trading price,74.24,cio-com,0.8,0.0
sial,Open price,73.54,cio-com,0.8,0.0
sial,Change $,0.86,cio-com,0.8,0.0
sial,Volume,673214.0,cio-com,0.8,0.0
sial,Today's high,74.27,cio-com,0.8,0.0
sial,Today's low,73.07,cio-com,0.8,0.0
sial,Previous close,73.38,cio-com,0.8,0.0
sial,52wk High,73.6,cio-com,0.8,0.0
sial,52wk Low,48.8,cio-com,0.8,0.0
sial,Shares Outstanding,121826546.0,cio-com,0.8,0.0
sial,Market cap,9000000000.0,cio-com,0.8,0.0
sial,Yield,1.0,cio-com,0.8,0.0
sial,Dividend,0.72,cio-com,0.8,0.0
sial,Change %,1.17,cnn-money,0.8,0.0
sial,Last trading price,74.24,cnn-money,0.8,0.0
sial,Open price,73.54,cnn-money,0.8,0.0
sial,Change $,0.86,cnn-money,0.8,0.0
sial,Volume,671219.0,cnn-money,0.8,0.0
sial,Today's high,74.27,cnn-money,0.8,0.0
sial,Today's low,73.07,cnn-money,0.8,0.0
sial,Previous close,73.38,cnn-money,0.8,0.0
sial,Market cap,9000000000.0,cnn-money,0.8,0.0
sial,Yield,0.97,cnn-money,0.8,0.0
sial,Change %,1.17,easystockalterts,0.8,0.0
sial,Last trading price,74.24,easystockalterts,0.8,0.0
sial,Open price,73.54,easystockalterts,0.8,0.0
sial,Change $,0.86,easystockalterts,0.8,0.0
sial,Volume,673214.0,easystockalterts,0.8,0.0
sial,Today's high,74.27,easystockalterts,0.8,0.0
sial,Today's low,73.07,easystockalterts,0.8,0.0
sial,Previous close,73.38,easystockalterts,0.8,0.0
sial,52wk High,73.6,easystockalterts,0.8,0.0
sial,52wk Low,48.8,easystockalterts,0.8,0.0
sial,EPS,3.28,easystockalterts,0.8,0.0
sial,Change %,1.17,eresearch-fidelity-com,0.8,0.0
sial,Last trading price,74.24,eresearch-fidelity-com,0.8,0.0
sial,Open price,73.54,eresearch-fidelity-com,0.8,0.0
sial,Change $,0.86,eresearch-fidelity-com,0.8,0.0
sial,Volume,673614.0,eresearch-fidelity-com,0.8,0.0
sial,Today's high,74.265,eresearch-fidelity-com,0.8,0.0
sial,Today's low,73.07,eresearch-fidelity-com,0.8,0.0
sial,Previous close,73.38,eresearch-fidelity-com,0.8,0.0
sial,52wk High,73.6,eresearch-fidelity-com,0.8,0.0
sial,52wk Low,48.8,eresearch-fidelity-com,0.8,0.0
sial,Shares Outstanding,121827000.0,eresearch-fidelity-com,0.8,0.0
sial,Market cap,8940000000.0,eresearch-fidelity-com,0.8,0.0
sial,Yield,0.98,eresearch-fidelity-com,0.8,0.0
sial,Dividend,0.18,eresearch-fidelity-com,0.8,0.0
sial,Change %,1.172,finance-abc7-com,0.8,0.0
sial,Last trading price,74.24,finance-abc7-com,0.8,0.0
sial,Open price,73.54,finance-abc7-com,0.8,0.0
sial,Change $,0.86,finance-abc7-com,0.8,0.0
sial,Volume,673214.0,finance-abc7-com,0.8,0.0
sial,Today's high,74.27,finance-abc7-com,0.8,0.0
sial,Today's low,73.07,finance-abc7-com,0.8,0.0
sial,Previous close,73.38,finance-abc7-com,0.8,0.0
sial,52wk High,73.6,finance-abc7-com,0.8,0.0
sial,52wk Low,48.8,finance-abc7-com,0.8,0.0
sial,Shares Outstanding,121826546.0,finance-abc7-com,0.8,0.0
sial,Change %,1.172,finance-abc7chicago-com,0.8,0.0
sial,Last trading price,74.24,finance-abc7chicago-com,0.8,0.0
sial,Open price,73.54,finance-abc7chicago-com,0.8,0.0
sial,Change $,0.86,finance-abc7chicago-com,0.8,0.0
sial,Volume,673214.0,finance-abc7chicago-com,0.8,0.0
sial,Today's high,74.27,finance-abc7chicago-com,0.8,0.0
sial,Today's low,73.07,finance-abc7chicago-com,0.8,0.0
sial,Previous close,73.38,finance-abc7chicago-com,0.8,0.0
sial,52wk High,73.6,finance-abc7chicago-com,0.8,0.0
sial,52wk Low,48.8,finance-abc7chicago-com,0.8,0.0
sial,Shares Outstanding,121826546.0,finance-abc7chicago-com,0.8,0.0
sial,Change %,1.172,financial-content,0.8,0.0
sial,Last trading price,74.24,financial-content,0.8,0.0
sial,Open price,73.54,financial-content,0.8,0.0
sial,Change $,0.86,financial-content,0.8,0.0
sial,Volume,673214.0,financial-content,0.8,0.0
sial,Today's high,74.27,financial-content,0.8,0.0
sial,Today's low,73.07,financial-content,0.8,0.0
sial,Previous close,73.38,financial-content,0.8,0.0
sial,52wk High,73.6,financial-content,0.8,0.0
sial,52wk Low,48.8,financial-content,0.8,0.0
sial,Shares Outstanding,121826546.0,financial-content,0.8,0.0
sial,Change %,1.2,finapps-forbes-com,0.8,0.0
sial,Last trading price,74.24,finapps-forbes-com,0.8,0.0
sial,Open price,73.54,finapps-forbes-com,0.8,0.0
sial,Change $,0.86,finapps-forbes-com,0.8,0.0
sial,Volume,673614.0,finapps-forbes-com,0.8,0.0
sial,Today's high,74.26,finapps-forbes-com,0.8,0.0
sial,Today's low,73.07,finapps-forbes-com,0.8,0.0
sial,Previous close,73.38,finapps-forbes-com,0.8,0.0
sial,52wk High,73.6,finapps-forbes-com,0.8,0.0
sial,52wk Low,48.8,finapps-forbes-com,0.8,0.0
sial,Shares Outstanding,122000000.0,finapps-forbes-com,0.8,0.0
sial,Market cap,9000000000.0,finapps-forbes-com,0.8,0.0
sial,Yield,1.0,finapps-forbes-com,0.8,0.0
sial,Dividend,0.72,finapps-forbes-com,0.8,0.0
sial,EPS,3.28,finapps-forbes-com,0.8,0.0
sial,Change %,1.17,finviz,0.8,0.0
sial,Last trading price,74.24,finviz,0.8,0.0
sial,Volume,673614.0,finviz,0.8,0.0
sial,Previous close,73.38,finviz,0.8,0.0
sial,52wk High,0.87,finviz,0.8,0.0
sial,52wk Low,53.82,finviz,0.8,0.0
sial,Shares Outstanding,121830000.0,finviz,0.8,0.0
sial,Market cap,8940000000.0,finviz,0.8,0.0
sial,Dividend,0.72,finviz,0.8,0.0
sial,EPS,3.28,finviz,0.8,0.0
sial,Change %,1.17,fool,0.8,0.0
sial,Last trading price,74.24,fool,0.8,0.0
sial,Open price,73.54,fool,0.8,0.0
sial,Change $,0.86,fool,0.8,0.0
sial,Volume,673614.0,fool,0.8,0.0
sial,Today's high,74.26,fool,0.8,0.0
sial,Today's low,73.07,fool,0.8,0.0
sial,Previous close,73.38,fool,0.8,0.0
sial,52wk High,73.6,fool,0.8,0.0
sial,52wk Low,48.8,fool,0.8,0.0
sial,Market cap,9040000000.0,fool,0.8,0.0
sial,Yield,1.2,fool,0.8,0.0
sial,Dividend,0.72,fool,0.8,0.0
sial,Last trading price,74.24,foxbusiness,0.8,0.0
sial,Change $,0.86,foxbusiness,0.8,0.0
sial,Volume,675863.0,foxbusiness,0.8,0.0
sial,Previous close,73.38,foxbusiness,0.8,0.0
sial,Change %,1.17,google-finance,0.8,0.0
sial,Last trading price,74.24,google-finance,0.8,0.0
sial,Open price,73.54,google-finance,0.8,0.0
sial,Change $,0.86,google-finance,0.8,0.0
sial,Volume,673614.0,google-finance,0.8,0.0
sial,Today's high,74.26,google-finance,0.8,0.0
sial,Today's low,73.07,google-finance,0.8,0.0
sial,52wk High,74.26,google-finance,0.8,0.0
sial,52wk Low,48.8,google-finance,0.8,0.0
sial,Shares Outstanding,121800000.0,google-finance,0.8,0.0
sial,Market cap,9040000000.0,google-finance,0.8,0.0
sial,Yield,0.97,google-finance,0.8,0.0
sial,Dividend,0.18,google-finance,0.8,0.0
sial,EPS,3.28,google-finance,0.8,0.0
sial,Change %,1.172,howthemarketworks,0.8,0.0
sial,Last trading price,74.24,howthemarketworks,0.8,0.0
sial,Open price,73.54,howthemarketworks,0.8,0.0
sial,Change $,0.86,howthemarketworks,0.8,0.0
sial,Volume,673214.0,howthemarketworks,0.8,0.0
sial,Today's high,74.265,howthemarketworks,0.8,0.0
sial,Today's low,73.07,howthemarketworks,0.8,0.0
sial,Previous close,73.38,howthemarketworks,0.8,0.0
sial,Change %,1.172,hpcwire,0.8,0.0
sial,Last trading price,74.24,hpcwire,0.8,0.0
sial,Open price,73.54,hpcwire,0.8,0.0
sial,Change $,0.86,hpcwire,0.8,0.0
sial,Volume,674263.0,hpcwire,0.8,0.0
sial,Today's high,74.27,hpcwire,0.8,0.0
sial,Today's low,73.07,hpcwire,0.8,0.0
sial,Previous close,73.38,hpcwire,0.8,0.0
sial,52wk High,73.6,hpcwire,0.8,0.0
sial,52wk Low,48.8,hpcwire,0.8,0.0
sial,Shares Outstanding,121826546.0,hpcwire,0.8,0.0
sial,Change %,1.17,insidestocks,0.8,0.0
sial,Last trading price,74.24,insidestocks,0.8,0.0
sial,Open price,73.54,insidestocks,0.8,0.0
sial,Change $,0.86,insidestocks,0.8,0.0
sial,Volume,582930.0,insidestocks,0.8,0.0
sial,Today's high,74.26,insidestocks,0.8,0.0
sial,Today's low,73.07,insidestocks,0.8,0.0
sial,Change %,1.1,investopedia,0.8,0.0
sial,Last trading price,74.19,investopedia,0.8,0.0
sial,Open price,73.54,investopedia,0.8,0.0
sial,Change $,0.81,investopedia,0.8,0.0
sial,Previous close,73.38,investopedia,0.8,0.0
sial,Change %,1.17,investorguide,0.8,0.0
sial,Last trading price,74.24,investorguide,0.8,0.0
sial,Open price,73.54,investorguide,0.8,0.0
sial,Change $,0.86,investorguide,0.8,0.0
sial,Today's high,74.265,investorguide,0.8,0.0
sial,Today's low,73.07,investorguide,0.8,0.0
sial,52wk High,73.6,investorguide,0.8,0.0
sial,52wk Low,48.8,investorguide,0.8,0.0
sial,Market cap,9044000000.0,investorguide,0.8,0.0
sial,EPS,3.28,investorguide,0.8,0.0
sial,Change %,1.17,marketintellisearch,0.8,0.0
sial,Last trading price,74.24,marketintellisearch,0.8,0.0
sial,Open price,73.54,marketintellisearch,0.8,0.0
sial,Change $,0.86,marketintellisearch,0.8,0.0
sial,Volume,666.8,marketintellisearch,0.8,0.0
sial,Today's high,74.26,marketintellisearch,0.8,0.0
sial,Today's low,73.07,marketintellisearch,0.8,0.0
sial,Previous close,73.38,marketintellisearch,0.8,0.0
sial,Shares Outstanding,121830000.0,marketintellisearch,0.8,0.0
sial,Market cap,8940000000.0,marketintellisearch,0.8,0.0
sial,Yield,0.98,marketintellisearch,0.8,0.0
sial,EPS,3.28,marketintellisearch,0.8,0.0
sial,Change %,1.17,marketwatch,0.8,0.0
sial,Last trading price,74.19,marketwatch,0.8,0.0
sial,Open price,73.54,marketwatch,0.8,0.0
sial,Change $,0.86,marketwatch,0.8,0.0
sial,Volume,11480.0,marketwatch,0.8,0.0
sial,Today's high,74.27,marketwatch,0.8,0.0
sial,Today's low,73.07,marketwatch,0.8,0.0
sial,Previous close,73.38,marketwatch,0.8,0.0
sial,52wk High,74.27,marketwatch,0.8,0.0
sial,52wk Low,49.44,marketwatch,0.8,0.0
sial,Market cap,8730000000.0,marketwatch,0.8,0.0
sial,Yield,0.97,marketwatch,0.8,0.0
sial,Dividend,0.18,marketwatch,0.8,0.0
sial,EPS,3.28,marketwatch,0.8,0.0
sial,Change %,1.172,minyanville,0.8,0.0
sial,Last trading price,74.24,minyanville,0.8,0.0
sial,Open price,73.54,minyanville,0.8,0.0
sial,Change $,0.86,minyanville,0.8,0.0
sial,Volume,673214.0,minyanville,0.8,0.0
sial,Today's high,74.27,minyanville,0.8,0.0
sial,Today's low,73.07,minyanville,0.8,0.0
sial,Previous close,73.38,minyanville,0.8,0.0
sial,52wk High,73.6,minyanville,0.8,0.0
sial,52wk Low,48.8,minyanville,0.8,0.0
sial,Shares Outstanding,121826546.0,minyanville,0.8,0.0
sial,Change %,1.17,msn-money,0.8,0.0
sial,Last trading price,74.24,msn-money,0.8,0.0
sial,Open price,73.54,msn-money,0.8,0.0
sial,Change $,0.86,msn-money,0.8,0.0
sial,Volume,673614.0,msn-money,0.8,0.0
sial,Today's high,74.27,msn-money,0.8,0.0
sial,Today's low,73.07,msn-money,0.8,0.0
sial,Previous close,73.38,msn-money,0.8,0.0
sial,52wk High,73.6,msn-money,0.8,0.0
sial,52wk Low,48.8,msn-money,0.8,0.0
sial,Shares Outstanding,121830000.0,msn-money,0.8,0.0
sial,Market cap,8940000000.0,msn-money,0.8,0.0
sial,Yield,0.98,msn-money,0.8,0.0
sial,Dividend,0.72,msn-money,0.8,0.0
sial,EPS,3.28,msn-money,0.8,0.0
sial,Change %,1.17,nasdaq-com,0.8,0.0
sial,Last trading price,74.24,nasdaq-com,0.8,0.0
sial,Open price,73.54,nasdaq-com,0.8,0.0
sial,Change $,0.86,nasdaq-com,0.8,0.0
sial,Volume,673614.0,nasdaq-com,0.8,0.0
sial,Today's high,74.265,nasdaq-com,0.8,0.0
sial,Today's low,73.07,nasdaq-com,0.8,0.0
sial,Previous close,73.38,nasdaq-com,0.8,0.0
sial,52wk High,73.6,nasdaq-com,0.8,0.0
sial,52wk Low,48.8,nasdaq-com,0.8,0.0
sial,Shares Outstanding,121827000.0,nasdaq-com,0.8,0.0
sial,Market cap,9044436480.0,nasdaq-com,0.8,0.0
sial,Yield,0.98,nasdaq-com,0.8,0.0
sial,Dividend,0.72,nasdaq-com,0.8,0.0
sial,EPS,3.28,nasdaq-com,0.8,0.0
sial,Change %,1.17,optimum,0.8,0.0
sial,Last trading price,74244000.0,optimum,0.8,0.0
sial,Open price,73.54,optimum,0.8,0.0
sial,Change $,0.86,optimum,0.8,0.0
sial,Volume,673214.0,optimum,0.8,0.0
sial,Today's high,74.27,optimum,0.8,0.0
sial,Today's low,73.07,optimum,0.8,0.0
sial,Previous close,73.38,optimum,0.8,0.0
sial,52wk High,73.6,optimum,0.8,0.0
sial,52wk Low,48.8,optimum,0.8,0.0
sial,Shares Outstanding,121830000.0,optimum,0.8,0.0
sial,Market cap,9000000000.0,optimum,0.8,0.0
sial,Yield,0.97,optimum,0.8,0.0
sial,Dividend,0.72,optimum,0.8,0.0
sial,EPS,3.28,optimum,0.8,0.0
sial,Change %,1.172,paidcontent,0.8,0.0
sial,Last trading price,74.24,paidcontent,0.8,0.0
sial,Open price,73.54,paidcontent,0.8,0.0
sial,Change $,0.86,paidcontent,0.8,0.0
sial,Volume,673214.0,paidcontent,0.8,0.0
sial,Today's high,74.27,paidcontent,0.8,0.0
sial,Today's low,73.07,paidcontent,0.8,0.0
sial,Previous close,73.38,paidcontent,0.8,0.0
sial,52wk High,73.6,paidcontent,0.8,0.0
sial,52wk Low,48.8,paidcontent,0.8,0.0
sial,Shares Outstanding,121826546.0,paidcontent,0.8,0.0
sial,Change %,1.17,pc-quote,0.8,0.0
sial,Last trading price,74.24,pc-quote,0.8,0.0
sial,Open price,73.54,pc-quote,0.8,0.0
sial,Change $,0.86,pc-quote,0.8,0.0
sial,Volume,678969.0,pc-quote,0.8,0.0
sial,Today's high,74.265,pc-quote,0.8,0.0
sial,Today's low,73.07,pc-quote,0.8,0.0
sial,Previous close,73.38,pc-quote,0.8,0.0
sial,52wk High,73.6,pc-quote,0.8,0.0
sial,52wk Low,48.8,pc-quote,0.8,0.0
sial,Shares Outstanding,120391043.0,pc-quote,0.8,0.0
sial,Market cap,8937831000.0,pc-quote,0.8,0.0
sial,Dividend,0.18,pc-quote,0.8,0.0
sial,Change %,1.17,personal-wealth-biz,0.8,0.0
sial,Last trading price,74.24,personal-wealth-biz,0.8,0.0
sial,Open price,73.54,personal-wealth-biz,0.8,0.0
sial,Volume,675863.0,personal-wealth-biz,0.8,0.0
sial,Today's high,74.265,personal-wealth-biz,0.8,0.0
sial,Today's low,73.07,personal-wealth-biz,0.8,0.0
sial,Previous close,73.38,personal-wealth-biz,0.8,0.0
sial,52wk High,73.6,personal-wealth-biz,0.8,0.0
sial,52wk Low,48.8,personal-wealth-biz,0.8,0.0
sial,Yield,0.93,personal-wealth-biz,0.8,0.0
sial,Dividend,0.68,personal-wealth-biz,0.8,0.0
sial,EPS,3.28,personal-wealth-biz,0.8,0.0
sial,Change %,1.17,predictwallstreet,0.8,0.0
sial,Last trading price,74.24,predictwallstreet,0.8,0.0
sial,Change $,0.86,predictwallstreet,0.8,0.0
sial,Volume,673614.0,predictwallstreet,0.8,0.0
sial,Change %,1.17,raymond-james,0.8,0.0
sial,Last trading price,74.24,raymond-james,0.8,0.0
sial,Open price,73.54,raymond-james,0.8,0.0
sial,Change $,0.86,raymond-james,0.8,0.0
sial,Volume,673614.0,raymond-james,0.8,0.0
sial,Today's high,74.27,raymond-james,0.8,0.0
sial,Today's low,73.07,raymond-james,0.8,0.0
sial,Previous close,74.24,raymond-james,0.8,0.0
sial,52wk High,73.6,raymond-james,0.8,0.0
sial,52wk Low,48.8,raymond-james,0.8,0.0
sial,EPS,3.33,raymond-james,0.8,0.0
sial,Change %,1.172,renewable-energy-world,0.8,0.0
sial,Last trading price,74.24,renewable-energy-world,0.8,0.0
sial,Open price,73.54,renewable-energy-world,0.8,0.0
sial,Change $,0.86,renewable-energy-world,0.8,0.0
sial,Volume,673214.0,renewable-energy-world,0.8,0.0
sial,Today's high,74.27,renewable-energy-world,0.8,0.0
sial,Today's low,73.07,renewable-energy-world,0.8,0.0
sial,Previous close,73.38,renewable-energy-world,0.8,0.0
sial,52wk High,73.6,renewable-energy-world,0.8,0.0
sial,52wk Low,48.8,renewable-energy-world,0.8,0.0
sial,Shares Outstanding,121826546.0,renewable-energy-world,0.8,0.0
sial,Change %,1.17,screamingmedia,0.8,0.0
sial,Last trading price,1.0,screamingmedia,0.8,0.0
sial,Open price,73.54,screamingmedia,0.8,0.0
sial,Change $,0.86,screamingmedia,0.8,0.0
sial,Volume,10431.0,screamingmedia,0.8,0.0
sial,Today's high,74.27,screamingmedia,0.8,0.0
sial,Today's low,73.07,screamingmedia,0.8,0.0
sial,Previous close,73.38,screamingmedia,0.8,0.0
sial,52wk High,74.27,screamingmedia,0.8,0.0
sial,52wk Low,49.44,screamingmedia,0.8,0.0
sial,Market cap,8730000000.0,screamingmedia,0.8,0.0
sial,Yield,0.97,screamingmedia,0.8,0.0
sial,Dividend,0.18,screamingmedia,0.8,0.0
sial,EPS,3.28,screamingmedia,0.8,0.0
sial,Change %,1.17,scroli,0.8,0.0
sial,Last trading price,74.24,scroli,0.8,0.0
sial,Open price,73.54,scroli,0.8,0.0
sial,Change $,0.86,scroli,0.8,0.0
sial,Volume,594689.0,scroli,0.8,0.0
sial,Today's high,74.26,scroli,0.8,0.0
sial,Today's low,73.07,scroli,0.8,0.0
sial,Previous close,73.38,scroli,0.8,0.0
sial,52wk High,74.26,scroli,0.8,0.0
sial,52wk Low,48.8,scroli,0.8,0.0
sial,EPS,3.28,scroli,0.8,0.0
sial,Change %,1.17,simple-stock-quotes,0.8,0.0
sial,Last trading price,74.24,simple-stock-quotes,0.8,0.0
sial,Change $,0.86,simple-stock-quotes,0.8,0.0
sial,Change %,1.17,smartmoney,0.8,0.0
sial,Last trading price,74.24,smartmoney,0.8,0.0
sial,Open price,73.54,smartmoney,0.8,0.0
sial,Change $,0.86,smartmoney,0.8,0.0
sial,Volume,674663.0,smartmoney,0.8,0.0
sial,Today's high,74.26,smartmoney,0.8,0.0
sial,Today's low,73.07,smartmoney,0.8,0.0
sial,Previous close,73.38,smartmoney,0.8,0.0
sial,52wk High,73.6,smartmoney,0.8,0.0
sial,52wk Low,48.8,smartmoney,0.8,0.0
sial,Market cap,8939600.0,smartmoney,0.8,0.0
sial,Yield,0.98,smartmoney,0.8,0.0
sial,Dividend,0.18,smartmoney,0.8,0.0
sial,Change %,1.172,stocknod,0.8,0.0
sial,Last trading price,74.24,stocknod,0.8,0.0
sial,Open price,73.54,stocknod,0.8,0.0
sial,Change $,0.86,stocknod,0.8,0.0
sial,Volume,674263.0,stocknod,0.8,0.0
sial,Today's high,74.27,stocknod,0.8,0.0
sial,Today's low,73.07,stocknod,0.8,0.0
sial,Previous close,73.38,stocknod,0.8,0.0
sial,52wk High,73.6,stocknod,0.8,0.0
sial,52wk Low,48.8,stocknod,0.8,0.0
sial,Shares Outstanding,121826546.0,stocknod,0.8,0.0
sial,Change %,1.17,stockpickr,0.8,0.0
sial,Last trading price,7424086117.0,stockpickr,0.8,0.0
sial,Open price,73.54,stockpickr,0.8,0.0
sial,Change $,0.86,stockpickr,0.8,0.0
sial,Volume,674.66,stockpickr,0.8,0.0
sial,Today's high,74.26,stockpickr,0.8,0.0
sial,Today's low,73.07,stockpickr,0.8,0.0
sial,Previous close,73.38,stockpickr,0.8,0.0
sial,52wk High,73.6,stockpickr,0.8,0.0
sial,52wk Low,48.8,stockpickr,0.8,0.0
sial,Change %,0.0,stocksmart,0.8,0.0
sial,Last trading price,68.76,stocksmart,0.8,0.0
sial,Open price,66.85,stocksmart,0.8,0.0
sial,Change $,0.0,stocksmart,0.8,0.0
sial,Volume,70847.0,stocksmart,0.8,0.0
sial,Today's high,70.36,stocksmart,0.8,0.0
sial,Today's low,68.68,stocksmart,0.8,0.0
sial,Change %,1.17,stocktwits,0.8,0.0
sial,Last trading price,74.24,stocktwits,0.8,0.0
sial,Change $,0.86,stocktwits,0.8,0.0
sial,Change %,1.17,streetinsider-com,0.8,0.0
sial,Last trading price,74.24,streetinsider-com,0.8,0.0
sial,Open price,73.54,streetinsider-com,0.8,0.0
sial,Change $,0.86,streetinsider-com,0.8,0.0
sial,Volume,673214.0,streetinsider-com,0.8,0.0
sial,Today's high,74.27,streetinsider-com,0.8,0.0
sial,Today's low,73.07,streetinsider-com,0.8,0.0
sial,Previous close,73.38,streetinsider-com,0.8,0.0
sial,52wk High,73.6,streetinsider-com,0.8,0.0
sial,52wk Low,48.8,streetinsider-com,0.8,0.0
sial,EPS,3.28,streetinsider-com,0.8,0.0
sial,Last trading price,74.24,thecramerreport,0.8,0.0
sial,Open price,73.54,thecramerreport,0.8,0.0
sial,Change $,0.86,thecramerreport,0.8,0.0
sial,Volume,673614.0,thecramerreport,0.8,0.0
sial,Today's high,74.265,thecramerreport,0.8,0.0
sial,Today's low,73.07,thecramerreport,0.8,0.0
sial,Change %,1.17,thestree,0.8,0.0
sial,Last trading price,74.24,thestree,0.8,0.0
sial,Open price,73.54,thestree,0.8,0.0
sial,Change $,0.86,thestree,0.8,0.0
sial,Volume,673614.0,thestree,0.8,0.0
sial,Today's high,74.26,thestree,0.8,0.0
sial,Today's low,73.07,thestree,0.8,0.0
sial,Previous close,73.38,thestree,0.8,0.0
sial,52wk High,73.6,thestree,0.8,0.0
sial,52wk Low,48.8,thestree,0.8,0.0
sial,Shares Outstanding,1.218265468,thestree,0.8,0.0
sial,Market cap,8.7313085529,thestree,0.8,0.0
sial,Change %,1.17,tickerspy,0.8,0.0
sial,Last trading price,74.24,tickerspy,0.8,0.0
sial,Open price,73.54,tickerspy,0.8,0.0
sial,Change $,0.86,tickerspy,0.8,0.0
sial,Volume,673614.0,tickerspy,0.8,0.0
sial,Today's high,74.27,tickerspy,0.8,0.0
sial,Today's low,73.07,tickerspy,0.8,0.0
sial,Previous close,73.38,tickerspy,0.8,0.0
sial,52wk High,73.6,tickerspy,0.8,0.0
sial,52wk Low,48.8,tickerspy,0.8,0.0
sial,Market cap,8900000000.0,tickerspy,0.8,0.0
sial,Yield,0.98,tickerspy,0.8,0.0
